"","CardNames","NbDecks","WINRATE_AVERAGE"
"1","Plains",57,72.2
"2","Path to Exile",48,72.4
"3","Lightning Bolt",44,72.3
"4","Island",39,71.9
"5","Forest",38,72.8
"6","Auriok Champion",31,70.7
"7","Aether Gust",30,71.1
"8","Flooded Strand",29,74.1
"9","Force of Negation",29,72
"10","Misty Rainforest",29,71.6
"11","Temple Garden",29,73.9
"12","Mountain",29,70.1
"13","Skyclave Apparition",26,70.8
"14","Thoughtseize",26,72.6
"15","Hallowed Fountain",25,73.7
"16","Steam Vents",25,70.4
"17","Engineered Explosives",24,72.6
"18","Windswept Heath",24,73.9
"19","Scalding Tarn",24,70.8
"20","Mystical Dispute",23,70.9
"21","Snow-Covered Island",23,72.6
"22","Lurrus of the Dream-Den",23,74.2
"23","Mishra's Bauble",23,72.6
"24","Breeding Pool",22,74.3
"25","Veil of Summer",22,74.2
"26","Horizon Canopy",22,70.9
"27","Teferi, Time Raveler",21,72.9
"28","Aether Vial",21,72.8
"29","Fatal Push",21,73.3
"30","Cryptic Command",20,73.1
"31","Mystic Sanctuary",20,74
"32","Stomping Ground",20,71.7
"33","Wooded Foothills",20,69.2
"34","Cavern of Souls",19,73.9
"35","Snow-Covered Plains",18,73.6
"36","Wrenn and Six",18,72.2
"37","Arid Mesa",17,70.7
"38","Bloodstained Mire",17,73.2
"39","Swamp",17,72.9
"40","Soul-Guide Lantern",17,70.7
"41","Sunbaked Canyon",17,74.8
"42","Monastery Swiftspear",17,74.1
"43","Celestial Purge",16,74.8
"44","Mana Leak",16,73.3
"45","Uro, Titan of Nature's Wrath",16,75.4
"46","Marsh Flats",16,75.7
"47","Boil",16,73.9
"48","Rest in Peace",16,71.5
"49","Field of Ruin",16,71.4
"50","Ashiok, Dream Render",15,73.8
