"","CardNames","Artists","Colors","CMC","Types","FirstSet","NbDecks","PercDecks","CardWins","CardMatches","Presence","AvgMdCount","AvgSbCount","PercCopies","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","Archetypes","URL"
"11","Akoum Hellhound","Jason Kang","R",1,"Creature","ZNR",1,1.04166666666667,7,9,1.2,4,0,1.04166666666667,77.8,40,97.2,"Bushwhacker Zoo","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#jositoshekel_th_place"
"12","All Is Dust","Jason Felix","",7,"Tribal,Sorcery","ROE",1,1.04166666666667,4,7,0.9,2,0,0.520833333333333,57.1,18.4,90.1,"Eldrazi Tron","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#clangeddin_nd_place"
"13","All That Glitters","Iain McCaig","W",2,"Enchantment","ELD",1,1.04166666666667,7,9,1.2,2,0,0.520833333333333,77.8,40,97.2,"Bogles","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#pacoelflaco_th_place"
"14","Ancestral Vision","Mark Poole","U",0,"Sorcery","TSP",1,1.04166666666667,4,7,0.9,3,0,0.78125,57.1,18.4,90.1,"Electro Balance","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#lord_of_puntlantis_th_place"
"15","Ancient Grudge","Jim Nelson","R",2,"Instant","TSP",1,1.04166666666667,4,7,0.9,0,2,0.520833333333333,57.1,18.4,90.1,"Dredge","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#boland_th_place"
"16","Ancient Stirrings","Vincent Proce","G",1,"Sorcery","ROE",1,1.04166666666667,7,9,1.2,4,0,1.04166666666667,77.8,40,97.2,"Green Tron","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#pablozoo_th_place"
"17","Ancient Ziggurat","John Avon","",0,"Land","CON",6,6.25,35,48,6.2,4,0,6.25,72.9,58.2,84.7,"Humans","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#azax_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#wizard__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#nammersquats_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#mlgb_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#mlgb_th_place"
"18","Angel's Grace","Mark Zug","W",1,"Instant","TSP",3,3.125,13,21,2.7,4,0,3.125,61.9,38.4,81.9,"Ad Nauseam","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#spartanxx_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#fayrawks_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#patheus__nd_place"
"19","Anger of the Gods","Noah Bradley","R",3,"Sorcery","THS",2,2.08333333333333,8,14,1.8,0,1.5,0.78125,57.1,28.9,82.3,"Electro Balance; Jund Midrange","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#lord_of_puntlantis_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#musasabi_th_place"
"20","Angrath's Rampage","Victor Adame Minguez","B,R",2,"Sorcery","WAR",2,2.08333333333333,15,19,2.4,0,2,1.04166666666667,78.9,54.4,93.9,"Shadow Prowess","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#mzblazer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#umekawaneiku_rd_place"
