"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",WURG Control,Shadow Prowess - Burn,Shadow Prowess - WURG Control,WURG Control - Shadow Prowess,WURG Control - Shadow Prowess
"Tiers 1.5",Spirits - Hammer Time - Heliod Combo - Izzet Prowess - Humans - Shadow Prowess,WURG Control - Hammer Time - Mardu Shadow - Humans - Spirits,Hammer Time - Spirits - Humans - Burn - Heliod Combo - Izzet Prowess - Mardu Shadow,Hammer Time - Spirits - Humans - Heliod Combo - Izzet Prowess - Burn,Hammer Time - Spirits - Humans - Heliod Combo - Izzet Prowess - Burn
"Tiers 2",Burn - Mardu Shadow - Ad Nauseam - Trickery Combo,Rakdos Midrange - Obosh Aggro - Heliod Combo - Izzet Prowess,Rakdos Midrange - Obosh Aggro,Mardu Shadow,Mardu Shadow
"Tiers 2.5",Rakdos Midrange - Obosh Aggro - Giants,Giants - Ad Nauseam - Trickery Combo,Ad Nauseam - Trickery Combo - Giants,Rakdos Midrange - Obosh Aggro - Ad Nauseam - Trickery Combo - Giants,Rakdos Midrange - Obosh Aggro - Ad Nauseam - Trickery Combo - Giants
