"","SetName","Winrate","Presence"
"1","EVE",78,7.6
"2","M15",77.8,1.2
"3","GTC",76.7,11.7
"4","M19",74.4,20.6
"5","FRF",74.2,11.9
"6","KTK",73.9,29.1
"7","RAV",73.5,71
"8","ICE",73.5,64.6
"9","IKO",73.3,87
"10","WWK",73.3,58.7
"11","LRW",73.3,67.8
"12","RNA",73.1,31.5
"13","C14",73.1,3.3
"14","AVR",72.9,22.2
"15","CON",72.8,90.7
"16","DIS",72.8,81.7
"17","ONS",72.7,110.6
"18","M20",72.7,85.3
"19","NEM",72.7,4.2
"20","ZNR",72.6,103.8
"21","PLS",72.5,16.9
"22","THB",72.4,73.8
"23","DGM",72.4,7.5
"24","LEA",72,240.9
"25","HOU",71.9,24.3
"26","USG",71.9,4.2
"27","WAR",71.8,61.1
"28","ISD",71.8,21.1
"29","GRN",71.7,8.7
"30","GPT",71.6,61.6
"31","XLN",71.6,30.4
"32","CSP",71.5,26.6
"33","DTK",71.5,26.2
"34","BFZ",71.5,6.4
"35","DKA",71.4,30.6
"36","MOR",71.4,0.9
"37","MH1",71.3,176.6
"38","5DN",71.3,96.8
"39","TMP",71.3,29.9
"40","RTR",71.3,26.6
"41","M11",71.3,11.2
"42","ELD",71.2,81.2
"43","ZEN",71.1,139
"44","SOI",71.1,19.6
"45","ALA",71,26.2
"46","EMN",71,49.5
"47","CHK",70.9,6.2
"48","DOM",70.8,31.3
"49","OGW",70.7,33.5
"50","DST",70.5,36.3
"51","WTH",70.4,14.8
"52","STH",70.4,24
"53","ROE",70.2,44.2
"54","SHM",70.1,17.6
"55","ULG",70.1,3.9
"56","MBS",70,14.1
"57","AER",69.9,33.7
"58","FUT",69.9,62.7
"59","M10",69.9,13.2
"60","ATQ",69.8,17.5
"61","SOK",69.8,17.5
"62","NPH",69.7,73.3
"63","M12",69.6,16.6
"64","SOM",69.1,50.6
"65","PLC",69,11.3
"66","ODY",68.8,2.1
"67","JOU",68.7,13.1
"68","DRK",68.5,16.3
"69","KLD",68.3,32
"70","AKH",67.4,11.1
"71","JUD",67.1,9
"72","LEG",66.8,3.9
"73","MRD",66.2,15.2
"74","CMD",65.9,6
"75","M21",65.4,23.3
"76","BNG",65,4.8
"77","M14",64.2,1.8
"78","KHM",64,11.1
"79","TSP",63.1,23.7
"80","INV",62.3,5.8
"81","ARN",61.9,5.4
"82","M13",61.9,2.7
"83","THS",61.2,6.3
"84","ARB",60.7,7.2
"85","P02",57.1,1.8
"86","ORI",57.1,0.9
