"CardNames","Artists","Colors","CMC","Types","FirstSet","NbDecks","PercDecks","CardWins","CardMatches","Presence","AvgMdCount","AvgSbCount","PercCopies","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","Archetypes","URL"
"Behold the Multiverse","Magali Villeneuve","U",4,"Instant","KHM",1,1.04166666666667,5,7,0.9,3,0,0.78125,71.4,29,96.3,"Dimir Control","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#tspjendrek_th_place"
"Cosima, God of the Voyage","Micah Epstein","U",3,"Creature","KHM",1,1.04166666666667,5,7,0.9,0,1,0.260416666666667,71.4,29,96.3,"WURG Control","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#katoriarch_th_place"
"Egon, God of Death","Jason A. Engle","B",3,"Creature","KHM",2,2.08333333333333,11,16,2.1,2,0,1.04166666666667,68.8,41.3,89,"Rakdos Midrange","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#ozymandias_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#ozymandias_st_place"
"In Search of Greatness","Ilse Gort","G",2,"Enchantment","KHM",1,1.04166666666667,4,7,0.9,4,0,1.04166666666667,57.1,18.4,90.1,"Green Devotion","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#curtisaxel_th_place"
"Invasion of the Giants","Jason Felix","R,U",2,"Enchantment","KHM",2,2.08333333333333,9,14,1.8,4,0,2.08333333333333,64.3,35.1,87.2,"Giants","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#trunks_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#parrotlet_th_place"
"Reidane, God of the Worthy","Jason Rainville","W",3,"Creature","KHM",1,1.04166666666667,4,7,0.9,3,0,0.78125,57.1,18.4,90.1,"Mono White Taxes","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#max_hersch_st_place"
"Tibalt's Trickery","Anna Podedworna","R",2,"Instant","KHM",3,3.125,13,21,2.7,3.33,0,2.6015625,61.9,38.4,81.9,"Trickery Combo","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-31#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#ryan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#acg_th_place"
"Valki, God of Lies","Yongjae Choi","B",2,"Creature","KHM",1,1.04166666666667,4,7,0.9,3,0,0.78125,57.1,18.4,90.1,"Jund Midrange","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-01#musasabi_th_place"
