"","SetCode","NoCopies","Winrate"
"1","LEA",3623,0.631
"2","MRD",1696,0.634
"3","ICE",1252,0.638
"4","SOM",1037,0.63
"5","VOW",905,0.63
"6","MH2",901,0.634
"7","CLB",859,0.623
"8","NEO",807,0.635
"9","DMU",595,0.62
"10","ZEN",591,0.622
"11","TOR",521,0.635
"12","AFR",486,0.637
"13","IKO",459,0.631
"14","JUD",450,0.625
"15","ALL",426,0.645
"16","BRO",424,0.634
"17","MBS",381,0.633
"18","TSP",359,0.635
"19","ALA",311,0.623
"20","KTK",309,0.637
"21","VIS",301,0.618
"22","MMQ",291,0.621
"23","MH1",290,0.648
"24","AER",283,0.64
"25","RTR",278,0.621
"26","LEG",261,0.633
"27","ATQ",256,0.639
"28","AKH",254,0.61
"29","DKA",253,0.615
"30","M11",242,0.63
"31","KHM",241,0.635
"32","FRF",235,0.631
"33","INV",217,0.623
"34","DIS",199,0.627
"35","SHM",191,0.634
"36","AVR",184,0.615
"37","LRW",184,0.635
"38","ROE",181,0.615
"39","WWK",153,0.646
"40","XLN",152,0.641
"41","ULG",147,0.619
"42","M12",142,0.632
"43","C16",135,0.631
"44","EVE",133,0.615
"45","SNC",120,0.648
"46","SOI",112,0.67
"47","DOM",105,0.659
"48","GPT",105,0.625
"49","MID",101,0.623
"50","ZNR",98,0.623
"51","MOR",92,0.62
"52","ODY",82,0.637
"53","APC",71,0.61
"54","RAV",69,0.64
"55","RNA",67,0.611
"56","USG",66,0.63
"57","M13",61,0.614
"58","M10",59,0.604
"59","ONS",57,0.599
"60","GTC",52,0.665
"61","NPH",52,0.613
"62","TMP",50,0.662
"63","DGM",50,0.592
"64","CSP",42,0.651
"65","OGW",41,0.624
"66","M21",40,0.656
"67","BOK",38,0.667
"68","THB",35,0.625
"69","JMP",31,0.659
"70","SCG",30,0.594
"71","ISD",29,0.621
"72","NEM",28,0.696
"73","CHK",26,0.586
"74","ARB",18,0.6
"75","STX",17,0.671
"76","CMR",17,0.687
"77","FUT",17,0.667
"78","ARN",16,0.7
"79","LGN",16,0.6
"80","M19",15,0.703
"81","ORI",12,0.579
"82","5DN",12,0.556
"83","WAR",11,0.657
"84","CN2",11,0.631
"85","DST",11,0.562
"86","ELD",10,0.667
"87","HOU",10,0.562
"88","KLD",7,0.606
"89","MIR",7,0.634
"90","M15",6,0.5
"91","SOK",5,0.576
"92","BFZ",5,0.576
"93","M14",5,0.526
"94","FEM",5,0.538
"95","PLS",4,0.583
"96","EMN",4,0.667
"97","BNG",4,0.5
"98","JOU",4,0.5
"99","STH",2,0.538
