"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"1","Wizard_2002",3,"Bogles","3","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1012501256#deck_Wizard_2002; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1112501268#deck_Wizard_2002; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-0812508245#deck_Wizard_2002"
"2","Mogged",2,"Terror; Affinity Control","1; 1","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1012501256#deck_Mogged; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1812502881#deck_Mogged"
"3","Ramelao",2,"Affinity Control; Walls Combo","1; 1","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1012501256#deck_Ramelao; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-0812508245#deck_Ramelao"
"4","Condescend",2,"Affinity Control","2","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1012501256#deck_Condescend; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1812502881#deck_Condescend"
"5","kaikas",2,"Boros Metalcraft; Bogles","1; 1","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1112501268#deck_kaikas; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1812502881#deck_kaikas"
"6","FranMtg",2,"Kuldotha Prowess","2","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1712502868#deck_FranMtg; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-0712508234#deck_FranMtg"
"7","TopGrinder",2,"Affinity Control","2","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1712502868#deck_TopGrinder; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-2412504226#deck_TopGrinder"
"8","discoverN",2,"Affinity Control","2","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1712502868#deck_discoverN; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-0112504299#deck_discoverN"
"9","Purgatory_01",2,"Izzet Faeries","2","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1712502868#deck_Purgatory_01; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-1812502881#deck_Purgatory_01"
"10","_rash_",2,"Kuldotha Prowess; Gates","1; 1","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-2412504226#deck__rash_; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-0712508234#deck__rash_"
"11","Heisen01",2,"Gates; Flicker Tron","1; 1","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-2412504226#deck_Heisen01; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-3112504286#deck_Heisen01"
"12","Beicodegeia",2,"Affinity Control; Kuldotha Prowess","1; 1","https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-2412504226#deck_Beicodegeia; https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2022-12-3112504286#deck_Beicodegeia"
