"","CardNames","DeckCount","Winrate95Min"
"1","Steel Sabotage",275,62.6
"2","Collector Ouphe",251,62.3
"3","Opposition Agent",310,62.3
"4","Leyline of the Void",986,62.3
"5","Library of Alexandria",102,62.1
"6","Flusterstorm",759,62.1
"7","Fatal Push",525,62
"8","Ravenous Trap",660,62
"9","The Tabernacle at Pendrell Vale",1187,62
"10","Gurmag Angler",9,61.9
"11","Soul-Guide Lantern",581,61.9
"12","Duress",123,61.7
"13","Mindbreak Trap",1045,61.7
"14","Swords to Plowshares",390,61.6
"15","Grafdigger's Cage",891,61.6
"16","Lightning Bolt",220,61.5
"17","Shattering Spree",422,61.5
"18","Surgical Extraction",581,61.4
"19","Force of Vigor",670,61.4
"20","Sprite Dragon",49,61.3
"21","Hurkyl's Recall",472,61.3
"22","Serenity",51,61.2
"23","Wurmcoil Engine",371,61.1
"24","Pithing Needle",789,61.1
"25","Wear // Tear",88,61
"26","Mountain",224,60.9
"27","Island",216,60.8
"28","Skysovereign, Consul Flagship",78,60.7
"29","Yixlid Jailer",263,60.7
"30","Energy Flux",424,60.7
"31","Eliminate",83,60.5
"32","Sphinx of the Steel Wind",159,60.3
"33","Abrupt Decay",97,60.2
"34","Mystical Dispute",50,60.1
"35","Archive Trap",296,60.1
"36","Pyroblast",453,60.1
"37","Defense Grid",90,60
"38","Veil of Summer",166,59.9
"39","Assassin's Trophy",160,59.9
"40","Tormod's Crypt",300,59.9
"41","Deafening Silence",96,59.8
"42","Null Rod",370,59.8
"43","Nature's Claim",166,59.7
"44","Contagion",92,59.6
"45","Lurrus of the Dream-Den",99,59.5
"46","Blightsteel Colossus",196,59.5
"47","Wasteland",121,59.3
"48","Containment Priest",194,59.3
"49","Ensnaring Bridge",285,59.3
"50","Mycosynth Lattice",281,59.2
