"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver - Jeskai Tempo - Lands,Izzet Murktide - Tin   Fins   - Conflict(WURG Control,WURG Control),Izzet Delver - Jeskai Tempo - Izzet Murktide,Izzet Delver - Jeskai Tempo - Death  &  Taxes,Izzet Delver - Jeskai Tempo - Death  &  Taxes
"Tiers 1.5",Death  &  Taxes - 4 C  ( Loam )  Control - Sneak  &  Show - Elves - Unknown - Doomsday - Slow   Depths - Artifacts   Blue - Temur Rhinos - Mono Red Prison,Karn   Post - Jeskai Tempo - Izzet Delver - WUBR Reanimator - Grixis Murktide - WURG Control - Slow   Depths - Death  &  Taxes - High   Tide - Bant Ephemerate - Doomsday,Death  &  Taxes - Slow   Depths - 4 C  ( Loam )  Control - Doomsday - Lands - Sneak  &  Show - Conflict(WURG Control,WURG Control) - Unknown - Karn   Post - Elves,4 C  ( Loam )  Control - Lands - Izzet Murktide - Doomsday - Sneak  &  Show - Slow   Depths - Unknown - Elves - Artifacts   Blue - Conflict(WURG Control,WURG Control),4 C  ( Loam )  Control - Lands - Izzet Murktide - Doomsday - Sneak  &  Show - Slow   Depths - Unknown - Elves - Artifacts   Blue - Conflict(WURG Control,WURG Control)
"Tiers 2",Izzet Murktide - TES - Conflict(WURG Control,WURG Control) - Bant Control - UW   Control - Karn   Post - Bant Ephemerate - Curse   Stompy - Grixis Murktide - High   Tide,Bant Control - 4 C  ( Loam )  Control - Karn   Echoes - Mono Green Post - Sneak  &  Show - Unknown - Lands - Madness - Temur Rhinos - Artifacts   Blue - Elves,Tin   Fins   - Artifacts   Blue - Temur Rhinos - Grixis Murktide - Bant Control - Mono Red Prison - Bant Ephemerate - WUBR Reanimator - WURG Control - High   Tide - TES,Temur Rhinos - Karn   Post - Mono Red Prison - Bant Control - Tin   Fins   - Grixis Murktide - Bant Ephemerate - TES - WUBR Reanimator - WURG Control - High   Tide,Temur Rhinos - Karn   Post - Mono Red Prison - Bant Control - Tin   Fins   - Grixis Murktide - Bant Ephemerate - TES - WUBR Reanimator - WURG Control - High   Tide
"Tiers 2.5",WURG Control - Madness - WUBR Reanimator - Tin   Fins   - Karn   Echoes - Mono Green Post,Mono Red Prison - TES - Curse   Stompy - UW   Control,Karn   Echoes - Mono Green Post - Madness - Curse   Stompy - UW   Control,Curse   Stompy - Karn   Echoes - Mono Green Post - Madness - UW   Control,Curse   Stompy - Karn   Echoes - Mono Green Post - Madness - UW   Control
