"","SetCode","NoCopies","Winrate"
"1","LEA",2112,0.709
"2","MID",1708,0.707
"3","ZNR",1536,0.713
"4","ELD",1339,0.711
"5","NEO",1295,0.705
"6","WAR",1148,0.718
"7","AFR",1097,0.708
"8","KHM",949,0.713
"9","M20",903,0.717
"10","VOW",771,0.708
"11","THS",725,0.725
"12","KLD",642,0.712
"13","STX",610,0.721
"14","IKO",566,0.721
"15","KTK",557,0.712
"16","RAV",511,0.719
"17","GPT",454,0.712
"18","THB",441,0.709
"19","SOI",438,0.711
"20","AKH",422,0.703
"21","M14",419,0.712
"22","RTR",393,0.709
"23","RNA",370,0.709
"24","GRN",357,0.713
"25","DTK",351,0.705
"26","DIS",336,0.711
"27","DOM",332,0.711
"28","XLN",330,0.699
"29","INV",316,0.706
"30","AER",305,0.71
"31","OGW",282,0.708
"32","JOU",274,0.717
"33","DGM",240,0.712
"34","ICE",236,0.736
"35","EMN",230,0.713
"36","LRW",226,0.715
"37","M19",224,0.721
"38","M21",215,0.708
"39","HOU",206,0.703
"40","M10",190,0.741
"41","ISD",186,0.752
"42","ORI",173,0.709
"43","RIX",154,0.72
"44","ZEN",132,0.709
"45","FRF",122,0.695
"46","DKA",118,0.717
"47","TSP",110,0.697
"48","USG",98,0.724
"49","MOR",97,0.708
"50","APC",77,0.717
"51","GTC",72,0.726
"52","BFZ",49,0.705
"53","MRD",48,0.725
"54","PLC",37,0.718
"55","DST",26,0.713
"56","BNG",21,0.649
"57","M11",20,0.705
"58","LEG",18,0.735
"59","M15",15,0.651
"60","ATQ",14,0.676
"61","M13",12,0.725
"62","ALA",8,0.688
"63","CMD",7,0.68
"64","C14",6,0.714
