"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver - UW   Control,Madness - Conflict(Slow   Depths,Bant Lands) - Death  &  Taxes - Mono Green Post,Death  &  Taxes - Izzet Delver - Madness,Izzet Delver - UW   Control - Death  &  Taxes,Izzet Delver - UW   Control - Death  &  Taxes
"Tiers 1.5",Mardu Reanimator - 4 C   Control - Elves - Artifacts   Blue - Doomsday - Jeskai Mentor - Death  &  Taxes - Izzet Tempo - Unknown,4 C   Control - Izzet Delver - Yorion   Zenith,UW   Control - 4 C   Control - Conflict(Slow   Depths,Bant Lands) - Artifacts   Blue - Mono Green Post - Mardu Reanimator - Doomsday - Jeskai Mentor - Elves - Izzet Tempo,4 C   Control - Mardu Reanimator - Artifacts   Blue - Madness - Elves - Doomsday - Jeskai Mentor - Izzet Tempo,4 C   Control - Mardu Reanimator - Artifacts   Blue - Madness - Elves - Doomsday - Jeskai Mentor - Izzet Tempo
"Tiers 2",Bant Control - Madness - Mono Green Post - Slow   Depths - TES - Conflict(Slow   Depths,Temur Lands) - Conflict(Slow   Depths,Bant Lands),Artifacts   Blue - TES - UW   Control - Jeskai Mentor - Doomsday - Unknown - Izzet Tempo - Mardu Reanimator - Selesnya Depths - Elves - Conflict(Slow   Depths,Temur Lands),Unknown - TES - Bant Control,Conflict(Slow   Depths,Bant Lands) - Mono Green Post - Unknown - Bant Control - TES,Conflict(Slow   Depths,Bant Lands) - Mono Green Post - Unknown - Bant Control - TES
"Tiers 2.5",Selesnya Depths - Oops !  All   Spells - Yorion   Zenith,Bant Control - Slow   Depths - Oops !  All   Spells,Selesnya Depths - Conflict(Slow   Depths,Temur Lands) - Yorion   Zenith - Slow   Depths - Oops !  All   Spells,Selesnya Depths - Conflict(Slow   Depths,Temur Lands) - Slow   Depths - Yorion   Zenith - Oops !  All   Spells,Selesnya Depths - Conflict(Slow   Depths,Temur Lands) - Slow   Depths - Yorion   Zenith - Oops !  All   Spells
