"","CardNames","DeckCount","Winrate95Min"
"1","Cast Down",13,63.2
"2","Fangren Marauder",11,63
"3","Ancient Grudge",16,63
"4","Breath Weapon",13,62.5
"5","Pyroblast",96,62.3
"6","Gorilla Shaman",124,62
"7","Blue Elemental Blast",88,61.4
"8","Nihil Spellbomb",63,61.1
"9","Krark-Clan Shaman",42,60.6
"10","Hydroblast",78,60.6
"11","Chainer's Edict",100,60.3
"12","Weather the Storm",23,59.8
"13","Introduction to Prophecy",7,59.7
"14","Abrade",7,59.7
"15","Duress",22,59.5
"16","Negate",34,59.2
"17","Suffocating Fumes",60,59.2
"18","Gnaw to the Bone",6,58.9
"19","Vision Charm",6,58.9
"20","Darkness",6,58.9
"21","Snuff Out",6,58.9
"22","Mountain",6,58.9
"23","Forest",6,58.9
"24","Flaring Pain",29,58.9
"25","Dust to Dust",75,58.9
"26","Rotten Reunion",19,58.8
"27","Smash to Dust",24,58.2
"28","Lone Missionary",32,58
"29","Prismatic Strands",13,57.8
"30","Unexpected Fangs",25,57.7
"31","Relic of Progenitus",88,57.6
"32","Metallic Rebuke",18,57.5
"33","Thorn of the Black Rose",18,57.5
"34","Dispel",38,57.1
"35","Red Elemental Blast",44,57.1
"36","Dawnbringer Cleric",51,56.8
"37","End the Festivities",28,56.5
"38","Shrivel",16,56.1
"39","Standard Bearer",22,56
"40","Searing Blaze",6,55.7
"41","Revoke Existence",25,55.6
"42","Crimson Acolyte",19,55.3
"43","Curfew",11,55.1
"44","Vitality Charm",12,54.6
"45","Annul",21,54.5
"46","Lifelink",13,54.3
"47","Moment's Peace",5,53.7
"48","Ram Through",14,53.7
"49","Electrickery",16,53.3
"50","Freewind Falcon",15,53.2
