"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Affinity Control - Orzhov Ephemerate,Cycle Storm - Moggwart - Flicker Tron,Flicker Tron,Affinity Control - Flicker Tron,Affinity Control - Flicker Tron
"Tiers 1.5",Kuldotha Prowess - Terror - Gates - Flicker Tron,Walls Combo,Moggwart - Cycle Storm - Affinity Control - Terror - Orzhov Ephemerate - Kuldotha Prowess,Orzhov Ephemerate - Terror - Moggwart - Cycle Storm - Kuldotha Prowess,Orzhov Ephemerate - Terror - Moggwart - Cycle Storm - Kuldotha Prowess
"Tiers 2",Bogles - Mono Blue Faeries - Caw Gate - Moggwart,Terror - Bogles - Orzhov Ephemerate - Izzet Faeries - Affinity Control - Kuldotha Prowess - Mono Blue Faeries,Walls Combo - Bogles - Gates - Mono Blue Faeries,Bogles - Walls Combo - Gates,Bogles - Walls Combo - Gates
"Tiers 2.5",Walls Combo - Cycle Storm - Izzet Faeries,Gates - Caw Gate,Izzet Faeries - Caw Gate,Mono Blue Faeries - Izzet Faeries - Caw Gate,Mono Blue Faeries - Izzet Faeries - Caw Gate
