"","SetCode","NoCopies","Winrate"
"1","MH2",5668,0.72
"2","LEA",2720,0.724
"3","MH1",2612,0.721
"4","ZEN",2416,0.724
"5","ONS",1701,0.723
"6","ELD",1351,0.73
"7","SOM",795,0.714
"8","GPT",764,0.723
"9","WWK",734,0.71
"10","5DN",714,0.723
"11","CSP",690,0.722
"12","IKO",688,0.717
"13","LRW",684,0.713
"14","KLD",680,0.724
"15","WAR",674,0.716
"16","NPH",664,0.71
"17","RAV",650,0.713
"18","MRD",645,0.729
"19","STX",641,0.719
"20","DIS",612,0.728
"21","ATQ",586,0.699
"22","TSP",569,0.719
"23","FUT",558,0.714
"24","M20",552,0.708
"25","ROE",537,0.722
"26","ZNR",509,0.713
"27","THB",499,0.709
"28","ARB",495,0.738
"29","ICE",389,0.701
"30","DKA",385,0.73
"31","EMN",364,0.726
"32","PC2",332,0.738
"33","SHM",325,0.734
"34","AER",319,0.72
"35","MBS",318,0.701
"36","CON",316,0.718
"37","M19",311,0.715
"38","DRK",309,0.728
"39","APC",305,0.733
"40","KTK",280,0.701
"41","RTR",268,0.725
"42","CMD",261,0.728
"43","OGW",245,0.732
"44","CHK",223,0.712
"45","AFR",213,0.711
"46","GTC",209,0.694
"47","HOU",199,0.738
"48","SOK",197,0.717
"49","ISD",193,0.727
"50","M21",182,0.726
"51","AKH",161,0.734
"52","PLC",159,0.731
"53","JOU",154,0.706
"54","DST",154,0.687
"55","DGM",145,0.725
"56","DTK",143,0.716
"57","RNA",142,0.71
"58","INV",140,0.723
"59","PLS",139,0.728
"60","ALA",137,0.704
"61","BFZ",136,0.712
"62","SOI",132,0.699
"63","AVR",126,0.707
"64","NEM",117,0.715
"65","M11",113,0.727
"66","XLN",103,0.698
"67","M12",102,0.709
"68","DOM",89,0.751
"69","M10",65,0.723
"70","TMP",64,0.71
"71","GRN",53,0.715
"72","ULG",50,0.68
"73","MOR",49,0.7
"74","STH",48,0.714
"75","FRF",47,0.702
"76","EVE",46,0.738
"77","WTH",41,0.695
"78","MIR",37,0.717
"79","KHM",32,0.72
"80","ORI",27,0.676
"81","P02",24,0.704
"82","JUD",19,0.689
"83","M15",18,0.764
"84","BOK",16,0.753
"85","M13",15,0.686
"86","ARN",15,0.649
"87","PTK",11,0.611
"88","LEG",10,0.676
"89","C14",10,0.658
"90","BNG",10,0.652
