"","Artist","NoCopies","Winrate"
"1","Rob Alexander",3117,0.725
"2","Christopher Rush",1294,0.717
"3","Mark Poole",1004,0.728
"4","Anastasia Ovchinnikova",818,0.724
"5","Eric Deschamps",765,0.721
"6","Chippy",730,0.72
"7","Philip Straub",715,0.725
"8","John Stanko",707,0.718
"9","Martina Fackova",628,0.724
"10","Simon Dominic",625,0.727
"11","Svetlin Velinov",576,0.721
"12","Shelly Wan",563,0.73
"13","Titus Lunter",562,0.718
"14","Alayna Danner",555,0.726
"15","Yeong-Hao Han",539,0.711
"16","Izzy",525,0.735
"17","Kari Christensen",513,0.719
"18","Cyril Van Der Haegen",493,0.715
"19","Ron Spears",482,0.725
"20","Jason Chan",469,0.71
"21","Adam Paquette",467,0.738
"22","Paul Scott Canavan",454,0.731
"23","Ekaterina Burmak",451,0.729
"24","Jesper Myrfors",440,0.721
"25","Chris Rallis",426,0.727
"26","Mark Zug",422,0.72
"27","Jung Park",403,0.718
"28","Tomasz Jedruszek",386,0.726
"29","Raymond Swanland",382,0.704
"30","Chase Stone",372,0.73
"31","Mark Tedin",370,0.713
"32","Jonas De Ro",367,0.721
"33","Randy Vargas",367,0.727
"34","Aleksi Briclot",350,0.712
"35","Pete Venters",333,0.717
"36","Richard Whitters",332,0.738
"37","Howard Lyon",328,0.707
"38","Lucas Graciano",327,0.724
"39","Franz Vohwinkel",323,0.732
"40","Dave Kendall",315,0.715
"41","Raoul Vitale",310,0.711
"42","David Martin",308,0.727
"43","Terese Nielsen",306,0.719
"44","Tom Wänerstrand",304,0.731
"45","Seb McKinnon",302,0.71
"46","Ryan Pancoast",295,0.719
"47","Cliff Childs",293,0.715
"48","Erica Yang",283,0.727
"49","Vance Kovacs",281,0.735
"50","Dmitry Burmak",279,0.709
"51","Sam Burley",277,0.728
"52","Johannes Voss",276,0.719
"53","Mike Bierek",271,0.707
"54","Douglas Shuler",270,0.717
"55","John Avon",270,0.732
"56","Amy Weber",268,0.711
"57","Michael C. Hayes",267,0.71
"58","Todd Lockwood",255,0.711
"59","James Paick",252,0.713
"60","Christine Choi",251,0.746
"61","David Rapoza",244,0.733
"62","Daarken",242,0.701
"63","Kev Walker",241,0.709
"64","Matt Stewart",231,0.71
"65","Dan Scott",228,0.725
"66","Justin Murray",224,0.737
"67","Vincent Proce",221,0.693
"68","Victor Adame Minguez",193,0.732
"69","Anthony S. Waters",190,0.708
"70","Steve Argyle",187,0.701
"71","Slawomir Maniak",187,0.718
"72","Volkan Baǵa",181,0.735
"73","Warren Mahy",181,0.718
"74","Greg Staples",178,0.722
"75","Anson Maddocks",173,0.703
"76","Ben Thompson",171,0.722
"77","Chris Rahn",171,0.705
"78","Jason Felix",168,0.714
"79","Nicholas Gregory",156,0.706
"80","Martina Pilcerova",154,0.74
"81","Evan Shipard",154,0.716
"82","Zoltan Boros",153,0.703
"83","Michael Sutfin",149,0.72
"84","Christopher Moeller",144,0.72
"85","Jason Rainville",142,0.74
"86","Jim Nelson",134,0.736
"87","Caio Monteiro",133,0.733
"88","Greg Hildebrandt",133,0.705
"89","Richard Wright",131,0.72
"90","Craig J Spearing",131,0.737
