"","CardNames","DeckCount","Winrate95Min"
"1","Blood Moon",99,70.5
"2","Mystical Dispute",184,70.4
"3","Engineered Explosives",209,70.4
"4","Endurance",107,70.1
"5","Faerie Macabre",9,70
"6","Void Mirror",122,69.6
"7","Flusterstorm",132,69.6
"8","Force of Vigor",128,69.6
"9","Lurrus of the Dream-Den",182,69.3
"10","Torpor Orb",79,69.2
"11","Dovin's Veto",47,69
"12","Chalice of the Void",136,69
"13","Celestial Purge",31,68.8
"14","Alpine Moon",151,68.8
"15","Emrakul, the Aeons Torn",38,68.6
"16","Wear // Tear",64,68.5
"17","Soul-Guide Lantern",75,68.3
"18","Subtlety",44,68.2
"19","Force of Negation",63,68
"20","Terminate",48,67.9
"21","Fracturing Gust",25,67.7
"22","Kozilek's Return",32,67.6
"23","Summary Dismissal",7,67.5
"24","Path to Exile",100,67.5
"25","Jace, the Mind Sculptor",21,67.4
"26","Nihil Spellbomb",41,67.4
"27","Abrade",33,67.2
"28","Pithing Needle",108,67.2
"29","Foundation Breaker",56,66.9
"30","Veil of Summer",62,66.9
"31","Prismatic Ending",80,66.7
"32","Damping Sphere",18,66.6
"33","Rest in Peace",58,66.6
"34","Spell Pierce",29,66.4
"35","Ancient Grudge",40,66.3
"36","Sanctifier en-Vec",85,66.3
"37","Relic of Progenitus",44,66.1
"38","Assassin's Trophy",7,65.7
"39","Supreme Verdict",19,65.7
"40","Spreading Seas",21,65.7
"41","Aether Gust",35,65.5
"42","Kolaghan's Command",31,65.4
"43","Seal of Cleansing",51,65.4
"44","Obsidian Charmaw",17,65.1
"45","Hushbringer",26,65.1
"46","Drannith Magistrate",34,65.1
"47","Crime // Punishment",6,64.7
"48","Collective Brutality",16,64.5
"49","Crumble to Dust",25,64.5
"50","Thoughtseize",36,64.5
