"","SetCode","NoCopies","Winrate"
"1","MH2",1829,0.79
"2","LEA",910,0.792
"3","MH1",725,0.797
"4","ONS",485,0.795
"5","ELD",379,0.816
"6","WWK",325,0.797
"7","KLD",308,0.797
"8","GPT",293,0.796
"9","RAV",293,0.796
"10","DIS",257,0.799
"11","WAR",250,0.81
"12","FUT",247,0.809
"13","ZEN",244,0.809
"14","THB",223,0.798
"15","NPH",213,0.808
"16","5DN",204,0.783
"17","CSP",195,0.786
"18","LRW",195,0.784
"19","AER",166,0.799
"20","M20",166,0.777
"21","STX",157,0.799
"22","SOM",150,0.801
"23","ZNR",142,0.792
"24","AKH",137,0.787
"25","ROE",137,0.792
"26","OGW",136,0.835
"27","KTK",133,0.797
"28","ISD",132,0.789
"29","DKA",132,0.773
"30","SHM",131,0.792
"31","M11",129,0.812
"32","IKO",129,0.79
"33","MRD",118,0.792
"34","ICE",114,0.775
"35","CON",113,0.804
"36","TSP",112,0.812
"37","DRK",110,0.809
"38","ARB",107,0.812
"39","SOK",98,0.809
"40","M21",96,0.767
"41","ATQ",94,0.804
"42","JUD",91,0.793
"43","AVR",87,0.833
"44","RTR",80,0.771
"45","HOU",76,0.795
"46","DST",75,0.789
"47","XLN",74,0.845
"48","EMN",70,0.771
"49","M12",68,0.815
"50","RNA",63,0.787
"51","INV",61,0.816
"52","APC",56,0.794
"53","DOM",53,0.786
"54","CHK",52,0.8
"55","SOI",50,0.821
"56","PLC",50,0.788
"57","ALA",47,0.786
"58","DGM",43,0.823
"59","BFZ",39,0.75
"60","PLS",37,0.804
"61","GRN",36,0.764
"62","GTC",34,0.771
"63","M15",30,0.812
"64","EVE",30,0.771
"65","M19",29,0.788
"66","MBS",28,0.784
"67","M10",24,0.821
"68","MOR",24,0.773
"69","DTK",23,0.795
"70","MIR",23,0.812
"71","FRF",22,0.833
"72","STH",22,0.804
"73","KHM",21,0.769
"74","M13",20,0.8
"75","TMP",17,0.781
"76","JOU",17,0.8
"77","ORI",17,0.812
"78","WTH",16,0.773
"79","THS",16,0.8
"80","CMD",13,0.825
"81","ALL",10,0.75
"82","BNG",9,0.75
"83","ULG",8,0.75
"84","NEM",6,0.812
"85","P02",6,0.875
"86","M14",5,0.75
"87","RIX",4,0.75
"88","ODY",4,0.75
"89","ARN",4,0.75
"90","LEG",2,0.75
