"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown - Sultai Control - Temur Stompy,Esper Control - WUBR Control - WUBG Control,Unknown - Naya Stompy - Temur Stompy,Unknown - Sultai Control - Temur Stompy,Unknown - Sultai Control - Temur Stompy
"Tiers 1.5",Dimir Rogue - Gruul Stompy - Naya Stompy - Izzet Control - Mono Green Stompy - Rakdos Control - Dimir Control,Naya Stompy - Mono White Control - Jeskai Control - Temur Stompy - Mono Green Stompy - Rakdos Control,WUBR Control - Esper Control - Sultai Control - Mono Green Stompy - Gruul Stompy - Dimir Rogue - Rakdos Control - Rakdos Midrange,Naya Stompy - Gruul Stompy - Dimir Rogue - Mono Green Stompy - Rakdos Control - Izzet Control - WUBR Control,Naya Stompy - Gruul Stompy - Dimir Rogue - Mono Green Stompy - Rakdos Control - Izzet Control - WUBR Control
"Tiers 2",Rakdos Midrange - WUBR Control - Esper Control - Jund Stompy - Mono Green Midrange - Jeskai Control,Rakdos Midrange - Unknown - Sultai Control - Gruul Stompy - Dimir Rogue - Azorius Control - Dimir Control - Mono Green Midrange,Dimir Control - Izzet Control - Jeskai Control - Mono White Control - WUBG Control - Mono Green Midrange,Esper Control - Dimir Control - Rakdos Midrange - Jeskai Control - Jund Stompy - Mono White Control - Mono Green Midrange,Esper Control - Dimir Control - Rakdos Midrange - Jeskai Control - Jund Stompy - Mono White Control - Mono Green Midrange
"Tiers 2.5",Mono White Control - Mardu Control - WUBG Control - Azorius Control,Izzet Control - Jund Stompy - Mardu Control,Jund Stompy - Azorius Control - Mardu Control,WUBG Control - Azorius Control - Mardu Control,WUBG Control - Azorius Control - Mardu Control
