"","CardNames","DeckCount","Winrate95Min"
"1","Usher of the Fallen",113,63.5
"2","Snow-Covered Plains",170,63.2
"3","Giant Killer",281,63.2
"4","Maul of the Skyclaves",142,63.1
"5","Luminarch Aspirant",184,63.1
"6","Adeline, Resplendent Cathar",51,62.6
"7","Reidane, God of the Worthy",165,62.6
"8","Fateful Absence",58,62.5
"9","Shepherd of the Flock",70,62.5
"10","Fire Prophecy",277,62.5
"11","Forest",1274,62.5
"12","Negate",418,62.4
"13","Lovestruck Beast",770,62.4
"14","Island",1183,62.4
"15","Showdown of the Skalds",186,62.3
"16","Edgewall Innkeeper",644,62.3
"17","Barkchannel Pathway",684,62.3
"18","Fabled Passage",1566,62.3
"19","Yorion, Sky Nomad",75,62.2
"20","Ketria Triome",533,62.2
"21","Cragcrown Pathway",802,62.2
"22","Mountain",1193,62.2
"23","Needleverge Pathway",494,62.1
"24","Sejiri Shelter",55,62
"25","Plains",475,62
"26","Kazandu Mammoth",472,62
"27","Faceless Haven",622,62
"28","Bonecrusher Giant",1178,62
"29","Witch's Oven",59,61.9
"30","Tangled Florahedron",235,61.9
"31","Shatterskull Smashing",837,61.9
"32","Riverglide Pathway",763,61.9
"33","Bonders' Enclave",52,61.8
"34","Seasoned Hallowblade",104,61.8
"35","Skyclave Apparition",185,61.8
"36","The Great Henge",360,61.8
"37","Esika's Chariot",554,61.8
"38","Clearwater Pathway",788,61.8
"39","Swamp",904,61.8
"40","Vantress Gargoyle",2,61.7
"41","Thrashing Brontodon",50,61.7
"42","Castle Garenbrig",81,61.7
"43","Hengegate Pathway",263,61.7
"44","Eliminate",365,61.7
"45","Heartless Act",807,61.7
"46","Castle Ardenvale",45,61.6
"47","Elspeth's Nightmare",265,61.6
"48","Brazen Borrower",309,61.6
"49","Binding the Old Gods",381,61.6
"50","Omen of the Sea",442,61.6
