"","SetCode","NoCopies","Winrate"
"1","MH2",914,0.696
"2","LEA",853,0.686
"3","ICE",560,0.685
"4","ZEN",444,0.682
"5","TMP",433,0.688
"6","ONS",354,0.679
"7","MH1",311,0.676
"8","LRW",301,0.683
"9","ALL",282,0.685
"10","USG",252,0.665
"11","NEM",184,0.697
"12","MRD",178,0.691
"13","LEB",173,0.705
"14","NPH",167,0.697
"15","STX",134,0.717
"16","ELD",129,0.664
"17","LEG",124,0.679
"18","ULG",123,0.671
"19","FUT",113,0.648
"20","DKA",96,0.694
"21","ZNR",95,0.658
"22","EXO",94,0.68
"23","AVR",94,0.669
"24","CSP",83,0.652
"25","M20",82,0.682
"26","PLC",80,0.691
"27","WAR",75,0.672
"28","WWK",74,0.663
"29","DST",72,0.7
"30","MBS",70,0.662
"31","GPT",68,0.674
"32","ALA",67,0.672
"33","DRK",67,0.696
"34","SOM",66,0.736
"35","GTC",66,0.639
"36","OGW",64,0.78
"37","THB",63,0.683
"38","MMQ",63,0.669
"39","ROE",61,0.682
"40","STH",58,0.69
"41","ISD",53,0.683
"42","SOK",53,0.69
"43","HOU",51,0.695
"44","WTH",51,0.705
"45","ODY",49,0.712
"46","SCG",49,0.664
"47","M11",48,0.672
"48","RAV",45,0.621
"49","TSP",44,0.689
"50","C18",41,0.712
"51","VIS",38,0.604
"52","AER",37,0.727
"53","RTR",35,0.651
"54","CHK",33,0.607
"55","CON",32,0.649
"56","CN2",31,0.669
"57","5DN",31,0.667
"58","PLS",31,0.712
"59","GRN",30,0.684
"60","MIR",29,0.704
"61","JUD",28,0.646
"62","CMR",28,0.721
"63","EVE",27,0.642
"64","CMD",27,0.687
"65","PC2",25,0.674
"66","JMP",24,0.595
"67","M19",24,0.719
"68","M15",22,0.692
"69","AFR",20,0.698
"70","MOR",20,0.595
"71","BNG",18,0.723
"72","TOR",18,0.621
"73","M13",17,0.627
"74","SHM",17,0.714
"75","MID",17,0.682
"76","IKO",15,0.684
"77","C13",13,0.686
"78","C20",12,0.714
"79","XLN",12,0.769
"80","AKH",11,0.729
"81","M21",11,0.638
"82","BBD",11,0.588
"83","DIS",10,0.594
"84","BFZ",9,0.75
"85","HML",8,0.643
"86","FEM",8,0.643
"87","ARB",8,0.636
"88","C19",7,0.633
"89","CNS",7,0.676
"90","APC",6,0.636
"91","ATQ",6,0.652
"92","FRF",5,0.667
"93","BOK",4,0.667
"94","KHM",4,0.75
"95","POR",3,0.667
"96","EMN",2,0.6
"97","KTK",2,0.571
"98","THS",1,0.625
"99","RNA",1,0.75
