"","CardNames","DeckCount","Winrate95Min"
"1","Plains",63,61.7
"2","Rally the Peasants",20,60.7
"3","Experimental Synthesizer",106,60.7
"4","Ichor Wellspring",79,60.4
"5","Chromatic Star",87,60.4
"6","Deadly Dispute",86,60.4
"7","Galvanic Blast",97,60.4
"8","Great Furnace",116,60.4
"9","Vault of Whispers",85,60.2
"10","Makeshift Munitions",84,60.1
"11","Boros Garrison",37,60
"12","Mountain",74,60
"13","Thraben Inspector",43,59.8
"14","Krark-Clan Shaman",52,59.8
"15","Drossforge Bridge",71,59.8
"16","Lorehold Campus",8,59.7
"17","Silverbluff Bridge",44,59.7
"18","Lightning Bolt",71,59.7
"19","Forest",36,59.6
"20","Guardian of the Guildpact",13,59.5
"21","Myr Enforcer",62,59.4
"22","Blood Fountain",62,59.4
"23","Disciple of the Vault",60,59.4
"24","Gladecover Scout",18,59.3
"25","Slippery Bogle",18,59.3
"26","Abundant Growth",18,59.3
"27","Ancestral Mask",18,59.3
"28","Armadillo Cloak",18,59.3
"29","Utopia Sprawl",18,59.3
"30","Mistvault Bridge",46,59.3
"31","Frogmite",61,59.3
"32","Swamp",87,59.3
"33","Forgotten Cave",27,59.2
"34","Reckoner's Bargain",53,59.2
"35","Ethereal Armor",20,59.1
"36","Palace Sentinels",14,59
"37","Rancor",28,58.9
"38","Battle Screech",18,58.8
"39","Prismatic Strands",18,58.8
"40","Seeker of the Way",31,58.8
"41","Seat of the Synod",23,58.7
"42","Wind-Scarred Crag",31,58.7
"43","Ash Barrens",53,58.7
"44","Golden Egg",21,58.6
"45","Rustvale Bridge",28,58.6
"46","Spirited Companion",12,58.3
"47","Squadron Hawk",15,58.2
"48","Thoughtcast",21,58
"49","Secluded Steppe",14,57.9
"50","Faithless Looting",23,57.9
