"","SetCode","NoCopies","Winrate"
"1","LEA",2703,0.64
"2","MRD",1810,0.643
"3","ICE",1130,0.622
"4","MH2",754,0.645
"5","NEO",730,0.64
"6","SOM",668,0.643
"7","MH1",508,0.626
"8","TSP",469,0.632
"9","USG",410,0.631
"10","VOW",388,0.641
"11","AFR",379,0.639
"12","MBS",370,0.635
"13","LRW",354,0.621
"14","XLN",342,0.631
"15","ZEN",309,0.643
"16","MMQ",297,0.647
"17","DST",281,0.627
"18","JUD",255,0.662
"19","TOR",255,0.638
"20","NPH",252,0.638
"21","RTR",243,0.65
"22","KTK",234,0.646
"23","M11",234,0.626
"24","IKO",234,0.637
"25","WWK",220,0.61
"26","ULG",200,0.643
"27","SHM",189,0.639
"28","KHM",181,0.613
"29","SOI",180,0.649
"30","BOK",178,0.611
"31","RAV",174,0.656
"32","ALA",169,0.639
"33","DRK",164,0.662
"34","CSP",160,0.638
"35","VIS",152,0.632
"36","DOM",149,0.63
"37","DKA",146,0.632
"38","ROE",146,0.628
"39","INV",140,0.684
"40","DIS",122,0.66
"41","ISD",121,0.645
"42","EVE",120,0.658
"43","5DN",113,0.647
"44","M13",113,0.612
"45","C16",109,0.639
"46","ELD",105,0.657
"47","APC",101,0.64
"48","CN2",99,0.641
"49","TMP",99,0.634
"50","ONS",98,0.639
"51","ORI",97,0.63
"52","LEG",96,0.625
"53","ATQ",87,0.636
"54","FRF",86,0.622
"55","GPT",85,0.624
"56","M12",83,0.659
"57","AVR",82,0.656
"58","ZNR",79,0.657
"59","CHK",64,0.661
"60","CMR",61,0.617
"61","M10",57,0.65
"62","RNA",55,0.653
"63","EMN",52,0.652
"64","GTC",50,0.623
"65","AKH",44,0.671
"66","MOR",43,0.612
"67","HOU",41,0.645
"68","THS",34,0.633
"69","ARN",34,0.627
"70","OGW",33,0.637
"71","MID",29,0.58
"72","M21",27,0.615
"73","ODY",25,0.561
"74","STX",24,0.653
"75","SCG",24,0.664
"76","M15",23,0.661
"77","THB",23,0.634
"78","KLD",22,0.648
"79","LGN",20,0.579
"80","FUT",16,0.596
"81","PLS",14,0.667
"82","PLC",13,0.556
"83","AER",10,0.702
"84","M14",10,0.576
"85","JMP",10,0.56
"86","BNG",8,0.615
"87","JOU",8,0.615
"88","NEM",8,0.526
"89","STH",5,0.594
"90","BFZ",4,0.667
"91","GRN",4,0.714
"92","FEM",4,0.571
"93","WTH",4,0.571
"94","DGM",4,0.5
"95","CNS",4,0.5
"96","M19",3,0.571
"97","SOK",2,0.75
"98","ARB",2,0.667
