"","SetCode","NoCopies","Winrate"
"1","LEA",2825,0.623
"2","ICE",1318,0.638
"3","MRD",916,0.611
"4","CLB",751,0.612
"5","SOM",629,0.624
"6","VOW",564,0.624
"7","NEO",562,0.615
"8","MH1",473,0.634
"9","ZEN",462,0.633
"10","DMU",451,0.639
"11","MH2",428,0.604
"12","AFR",370,0.597
"13","TOR",359,0.631
"14","IKO",335,0.628
"15","JUD",325,0.635
"16","ALL",317,0.621
"17","TSP",305,0.632
"18","KHM",303,0.634
"19","BRO",292,0.645
"20","MBS",290,0.636
"21","KTK",269,0.61
"22","ALA",256,0.601
"23","LRW",250,0.634
"24","WWK",250,0.625
"25","SNC",245,0.602
"26","USG",241,0.637
"27","M11",211,0.64
"28","ATQ",206,0.678
"29","ROE",202,0.637
"30","AER",201,0.62
"31","DIS",184,0.614
"32","VIS",173,0.633
"33","ULG",164,0.63
"34","LEG",163,0.617
"35","MMQ",162,0.635
"36","FRF",162,0.631
"37","SOI",162,0.586
"38","DKA",160,0.63
"39","RTR",136,0.608
"40","INV",135,0.656
"41","DOM",134,0.629
"42","AKH",118,0.6
"43","MID",109,0.639
"44","BOK",101,0.623
"45","AVR",100,0.647
"46","MOR",94,0.614
"47","C16",91,0.64
"48","NPH",89,0.604
"49","RAV",80,0.627
"50","ORI",80,0.608
"51","ODY",76,0.664
"52","CMR",75,0.609
"53","XLN",74,0.61
"54","GTC",73,0.662
"55","GPT",72,0.574
"56","M21",70,0.59
"57","EVE",69,0.59
"58","M19",69,0.593
"59","ONE",65,0.507
"60","M13",64,0.641
"61","RNA",63,0.639
"62","PLS",56,0.629
"63","CSP",54,0.624
"64","SHM",54,0.595
"65","M12",53,0.612
"66","ONS",51,0.621
"67","STX",47,0.623
"68","APC",45,0.633
"69","ISD",44,0.612
"70","OGW",42,0.665
"71","HOU",42,0.628
"72","TMP",40,0.61
"73","DGM",38,0.614
"74","ZNR",37,0.619
"75","SCG",32,0.685
"76","CN2",30,0.613
"77","WAR",28,0.628
"78","ELD",28,0.6
"79","DST",27,0.569
"80","CHK",23,0.667
"81","FUT",20,0.625
"82","P02",20,0.594
"83","BFZ",17,0.672
"84","ARN",16,0.538
"85","JMP",13,0.65
"86","THB",13,0.589
"87","NEM",13,0.593
"88","ARB",12,0.679
"89","SOK",10,0.681
"90","5DN",8,0.667
"91","PCY",7,0.714
"92","LGN",5,0.657
"93","EMN",5,0.625
"94","M14",4,0.704
"95","MIR",4,0.682
"96","GRN",4,0.615
"97","FEM",3,0.75
"98","CNS",3,0.65
"99","M15",3,0.5
