"","CardNames","DeckCount","Winrate95Min"
"1","Mystical Dispute",364,71.5
"2","Endurance",228,71.3
"3","Force of Vigor",280,71.3
"4","Blood Moon",189,71.2
"5","Chalice of the Void",300,70.8
"6","Flusterstorm",217,70.6
"7","Engineered Explosives",406,70.5
"8","Lurrus of the Dream-Den",345,70.4
"9","Torpor Orb",104,70.1
"10","Pithing Needle",204,70.1
"11","Void Mirror",189,70
"12","Seal of Cleansing",118,69.9
"13","Foundation Breaker",130,69.8
"14","Alpine Moon",265,69.8
"15","Subtlety",109,69.5
"16","Prismatic Ending",178,69.4
"17","Path to Exile",190,69.4
"18","Soul-Guide Lantern",148,69.3
"19","Celestial Purge",50,69.1
"20","Sanctifier en-Vec",196,69
"21","Relic of Progenitus",89,68.9
"22","Tormod's Crypt",104,68.9
"23","Nihil Spellbomb",108,68.9
"24","Dovin's Veto",56,68.8
"25","Wear // Tear",117,68.8
"26","Aether Gust",132,68.8
"27","Force of Negation",142,68.8
"28","Fracturing Gust",46,68.6
"29","Abrade",99,68.6
"30","Veil of Summer",132,68.5
"31","Kozilek's Return",90,68.4
"32","Kaheera, the Orphanguard",52,68.3
"33","Anger of the Gods",47,68.2
"34","Emrakul, the Aeons Torn",74,68.2
"35","Terminate",67,68.1
"36","Jace, the Mind Sculptor",32,67.9
"37","Ancient Grudge",63,67.9
"38","Rest in Peace",89,67.7
"39","Spreading Seas",23,67.6
"40","Faerie Macabre",27,67.6
"41","Crumble to Dust",35,67.6
"42","Teferi, Time Raveler",37,67.6
"43","Drannith Magistrate",84,67.6
"44","Summary Dismissal",7,67.5
"45","Spell Pierce",70,67.5
"46","Fragmentize",26,67.4
"47","Crime // Punishment",20,67.1
"48","Damping Sphere",25,67.1
"49","Unmoored Ego",16,66.9
"50","Manriki-Gusari",72,66.8
