"","SetCode","NoCopies","Winrate"
"1","MH2",11195,0.723
"2","LEA",5458,0.724
"3","MH1",5242,0.723
"4","ZEN",4483,0.722
"5","ONS",3311,0.722
"6","ELD",2460,0.729
"7","GPT",1641,0.724
"8","WWK",1623,0.718
"9","5DN",1608,0.722
"10","SOM",1601,0.721
"11","LRW",1515,0.715
"12","KLD",1495,0.72
"13","CSP",1340,0.72
"14","M20",1302,0.72
"15","NPH",1293,0.716
"16","RAV",1269,0.718
"17","STX",1257,0.72
"18","WAR",1252,0.722
"19","IKO",1246,0.725
"20","DIS",1245,0.726
"21","MRD",1185,0.727
"22","ATQ",1162,0.715
"23","FUT",1108,0.717
"24","ZNR",1093,0.715
"25","ROE",1056,0.721
"26","THB",1037,0.719
"27","TSP",973,0.718
"28","ARB",917,0.73
"29","ICE",866,0.705
"30","DKA",725,0.727
"31","EMN",705,0.732
"32","CON",672,0.717
"33","MBS",663,0.72
"34","DRK",635,0.73
"35","AER",630,0.72
"36","PC2",599,0.738
"37","SHM",594,0.72
"38","OGW",541,0.73
"39","M19",516,0.717
"40","APC",502,0.733
"41","ISD",497,0.718
"42","HOU",465,0.722
"43","KTK",450,0.701
"44","RTR",437,0.727
"45","CMD",422,0.727
"46","SOK",414,0.72
"47","AFR",382,0.723
"48","DTK",376,0.714
"49","AKH",360,0.723
"50","M21",358,0.716
"51","CHK",358,0.705
"52","DST",324,0.701
"53","AVR",303,0.718
"54","PLS",298,0.719
"55","NEM",296,0.731
"56","GTC",284,0.694
"57","DGM",283,0.72
"58","ALA",273,0.713
"59","BFZ",261,0.727
"60","PLC",249,0.736
"61","INV",249,0.714
"62","RNA",228,0.705
"63","JOU",221,0.701
"64","M11",217,0.728
"65","SOI",205,0.712
"66","XLN",202,0.696
"67","M12",190,0.707
"68","DOM",145,0.734
"69","TMP",139,0.72
"70","GRN",134,0.714
"71","M10",133,0.716
"72","STH",116,0.714
"73","MOR",109,0.711
"74","EVE",106,0.732
"75","ULG",95,0.696
"76","FRF",93,0.706
"77","WTH",91,0.702
"78","THS",78,0.736
"79","KHM",71,0.725
"80","JUD",69,0.685
"81","P02",68,0.68
"82","MIR",52,0.738
"83","ORI",50,0.744
"84","PTK",45,0.667
"85","M15",43,0.744
"86","CN2",39,0.669
"87","M13",28,0.697
"88","ARN",26,0.667
"89","LEG",23,0.721
"90","ALL",23,0.712
"91","BOK",20,0.748
"92","C14",19,0.683
"93","BNG",14,0.688
"94","TOR",5,0.708
"95","SCG",4,0.625
"96","ODY",3,0.778
