"","CardNames","DeckCount","Winrate95Min"
"1","Forest",352,71.4
"2","Crashing Footfalls",83,71.2
"3","Fire // Ice",128,71.2
"4","Steam Vents",474,71.2
"5","Island",460,71.2
"6","Violent Outburst",149,71.1
"7","Flooded Strand",308,71.1
"8","Bonecrusher Giant",86,71
"9","Gemstone Caverns",93,71
"10","Breeding Pool",255,71
"11","Misty Rainforest",366,71
"12","Shardless Agent",150,70.9
"13","Stomping Ground",321,70.9
"14","Zulaport Cutthroat",5,70.8
"15","Ketria Triome",153,70.8
"16","Fury",127,70.7
"17","Brazen Borrower",171,70.7
"18","Urza's Saga",251,70.7
"19","Scalding Tarn",492,70.7
"20","Prismatic Ending",223,70.6
"21","Mountain",330,70.6
"22","Force of Negation",175,70.5
"23","Wooded Foothills",348,70.5
"24","Prismari Command",114,70.4
"25","Plains",284,70.4
"26","Raugrin Triome",179,70.3
"27","Dead // Gone",64,70.2
"28","Wrenn and Six",172,70.1
"29","Mishra's Bauble",347,70.1
"30","Blackcleave Cliffs",128,70
"31","Snapcaster Mage",146,70
"32","Teferi, Time Raveler",188,70
"33","Spirebluff Canal",226,70
"34","Ragavan, Nimble Pilferer",283,70
"35","Lightning Bolt",412,70
"36","Dragon's Rage Channeler",291,69.9
"37","Nihil Spellbomb",46,69.8
"38","Chalice of the Void",64,69.8
"39","Silent Clearing",141,69.8
"40","Shadowspear",206,69.8
"41","Polluted Delta",206,69.8
"42","Sacred Foundry",239,69.8
"43","Unholy Heat",270,69.8
"44","Ornithopter",141,69.7
"45","Memnite",138,69.7
"46","Hapatra, Vizier of Poisons",7,69.6
"47","Pithing Needle",65,69.6
"48","Supreme Verdict",82,69.6
"49","Puresteel Paladin",135,69.6
"50","Colossus Hammer",135,69.6
