"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"20","artem_go",2,"Izzet Murktide; Burn","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-08-01#artem_go_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#artem_go_th_place"
"21","MrCafouillette",2,"Jeskai Control","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-02#mrcafouillette_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-13#mrcafouillette_nd_place"
"22","Voltzwagon",2,"Blue Living End; Izzet Murktide","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-09#voltzwagon_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-16#voltzwagon_th_place"
"23","tunicoberno",2,"Hammer Time","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-09#tunicoberno_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#tunicoberno_th_place"
"24","Ndabe",2,"Blue Living End","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-15#ndabe_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#ndabe_th_place"
"25","Oscar_Franco",2,"Blue Living End; Jund Saga","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-08-16#oscar_franco_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-29#oscar_franco_nd_place"
"26","swff",2,"Izzet Murktide","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#swff_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-30#swff_th_place"
"27","Erik157751",2,"Blue Living End","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-05#erik_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-12#erik_th_place"
"28","trunks132",2,"Jund Saga; Izzet Murktide","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-06#trunks_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-12#trunks_th_place"
"29","MikoGK",1,"Temur Footfalls","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#mikogk_st_place"
"30","Hamuda",1,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#hamuda_rd_place"
