"","CardNames","DeckCount","WinrateAverage"
"1","Phyrexia's Core",1,100
"2","Power Depot",1,100
"3","Tithe Taker",1,100
"4","World Breaker",1,100
"5","Kozilek's Return",1,100
"6","Brainstone",1,100
"7","Whispers of Emrakul",1,100
"8","Eldrazi Obligator",1,90
"9","Goblin Engineer",3,88.9
"10","Witching Well",3,88.9
"11","Cragcrown Pathway",3,88.2
"12","Silverbluff Bridge",4,86.4
"13","Zulaport Cutthroat",5,85.4
"14","Maddening Cacophony",2,84.6
"15","Tangled Florahedron",5,83.9
"16","Grove of the Burnwillows",4,83.3
"17","Galvanic Blast",3,83.3
"18","Glimmervoid",6,82.9
"19","Darkbore Pathway",4,82.8
"20","Reclamation Sage",3,82.8
"21","Prosperous Innkeeper",6,82.6
"22","Hapatra, Vizier of Poisons",7,82.1
"23","Spire of Industry",10,81.8
"24","Elixir of Immortality",3,81.8
"25","Night's Whisper",2,81.8
"26","Spitebellows",4,81.5
"27","Bojuka Bog",8,81.2
"28","Vesperlark",5,80.6
"29","Omnath, Locus of the Roil",6,80.5
"30","Rest in Peace",9,80.3
"31","Flayer Husk",1,80
"32","Essence Warden",1,80
"33","Grim Lavamancer",1,80
"34","Unburial Rites",7,79.1
"35","Unmarked Grave",7,79.1
"36","Whir of Invention",6,78.4
"37","Sword of the Meek",6,78.4
"38","Thopter Foundry",6,78.4
"39","Talisman of Progress",7,78.3
"40","Collective Brutality",5,78.1
"41","Darkness",1,77.8
"42","Into the Story",1,77.8
"43","Firebolt",1,77.8
"44","Cyclonic Rift",1,77.8
"45","Talisman of Curiosity",1,77.8
"46","Talisman of Dominance",1,77.8
"47","Trinisphere",1,77.8
"48","Jace, Vryn's Prodigy",1,77.8
"49","Geralf's Messenger",12,77.7
"50","Wall of Roots",12,77.7
