"","Artist","NoCopies","Winrate"
"1","Rob Alexander",5964,0.724
"2","Christopher Rush",2746,0.723
"3","Mark Poole",1876,0.724
"4","Anastasia Ovchinnikova",1858,0.726
"5","Eric Deschamps",1477,0.722
"6","Chippy",1458,0.72
"7","John Stanko",1457,0.722
"8","Philip Straub",1433,0.723
"9","Martina Fackova",1164,0.719
"10","Simon Dominic",1137,0.721
"11","Shelly Wan",1094,0.728
"12","Svetlin Velinov",1064,0.724
"13","Ron Spears",1045,0.724
"14","Titus Lunter",1031,0.728
"15","Adam Paquette",996,0.73
"16","Yeong-Hao Han",984,0.724
"17","Cyril Van Der Haegen",965,0.719
"18","Jesper Myrfors",963,0.725
"19","Mark Zug",961,0.718
"20","Jason Chan",943,0.72
"21","Kari Christensen",936,0.714
"22","Alayna Danner",910,0.722
"23","Izzy",900,0.732
"24","Paul Scott Canavan",856,0.725
"25","Tomasz Jedruszek",849,0.72
"26","Ekaterina Burmak",833,0.731
"27","Chris Rallis",794,0.728
"28","Randy Vargas",785,0.733
"29","Jung Park",763,0.727
"30","Jonas De Ro",751,0.721
"31","Howard Lyon",727,0.719
"32","Aleksi Briclot",725,0.713
"33","Chase Stone",698,0.727
"34","Raymond Swanland",687,0.711
"35","Franz Vohwinkel",674,0.724
"36","Seb McKinnon",666,0.721
"37","Mike Bierek",658,0.72
"38","Pete Venters",613,0.72
"39","Ryan Pancoast",612,0.724
"40","Lucas Graciano",608,0.721
"41","Michael C. Hayes",608,0.716
"42","Mark Tedin",598,0.715
"43","Richard Whitters",595,0.739
"44","Dave Kendall",587,0.717
"45","Cliff Childs",585,0.722
"46","Dmitry Burmak",583,0.725
"47","Tom Wänerstrand",577,0.728
"48","Raoul Vitale",574,0.733
"49","Amy Weber",556,0.727
"50","Vance Kovacs",541,0.723
"51","Terese Nielsen",541,0.722
"52","John Avon",540,0.733
"53","Anthony S. Waters",535,0.718
"54","Douglas Shuler",530,0.722
"55","Daarken",523,0.715
"56","Todd Lockwood",517,0.721
"57","David Martin",498,0.735
"58","David Rapoza",493,0.722
"59","Christine Choi",491,0.726
"60","Sam Burley",467,0.731
"61","James Paick",463,0.718
"62","Erica Yang",454,0.727
"63","Johannes Voss",450,0.725
"64","Vincent Proce",441,0.708
"65","Chris Rahn",419,0.729
"66","Volkan Baǵa",411,0.729
"67","Matt Stewart",383,0.704
"68","Dan Scott",381,0.737
"69","Kev Walker",377,0.705
"70","Ben Thompson",374,0.719
"71","Christopher Moeller",372,0.73
"72","Greg Hildebrandt",367,0.714
"73","Victor Adame Minguez",351,0.744
"74","Evan Shipard",350,0.723
"75","Slawomir Maniak",350,0.722
"76","Warren Mahy",343,0.709
"77","Steve Argyle",341,0.695
"78","Jason Felix",338,0.73
"79","Nicholas Gregory",331,0.702
"80","Anson Maddocks",330,0.707
"81","Greg Staples",329,0.709
"82","Justin Murray",327,0.727
"83","Kieran Yanner",315,0.714
"84","Bastien L. Deharme",310,0.718
"85","Jason Rainville",301,0.741
"86","Martina Pilcerova",289,0.742
"87","Richard Wright",284,0.718
"88","Michael Komarck",270,0.709
"89","Craig J Spearing",268,0.716
"90","Lake Hurwitz",263,0.713
"91","Wayne England",243,0.72
"92","Dan Frazier",243,0.717
"93","DiTerlizzi",241,0.727
"94","Michael Sutfin",239,0.711
"95","Jean-Sébastien Rossbach",224,0.715
"96","Jim Nelson",219,0.724
"97","Daniel Ljunggren",209,0.71
"98","Zoltan Boros",209,0.692
"99","Adam Rex",205,0.721
"100","Wisnu Tan",200,0.712
"101","Lius Lasahido",197,0.726
"102","Alexander Forssberg",189,0.723
"103","Nicholas Elias",186,0.726
"104","Deruchenko Alexander",186,0.719
"105","Johan Grenier",180,0.723
"106","Caio Monteiro",172,0.736
"107","Noah Bradley",169,0.733
"108","Heather Hudson",169,0.734
"109","Tomas Giorello",168,0.734
"110","Sidharth Chaturvedi",164,0.715
"111","Scott Murphy",161,0.736
"112","Yongjae Choi",158,0.745
"113","Steven Belledin",155,0.703
"114","Heonhwa Choe",147,0.701
"115","rk post",145,0.703
"116","Alex Horley-Orlandelli",143,0.712
"117","Campbell White",143,0.699
"118","Dimitar Marinski",141,0.7
"119","Steve Prescott",140,0.713
"120","Scott M. Fischer",135,0.705
"121","Cynthia Sheppard",134,0.71
"122","Fred Fields",132,0.732
"123","Luca Zontini",131,0.692
"124","Winona Nelson",131,0.707
"125","Jesper Ejsing",127,0.696
"126","Johann Bodin",119,0.714
"127","Donato Giancola",118,0.682
"128","Darrell Riche",110,0.707
"129","Jeff Miracola",107,0.715
"130","Zoltan Boros & Gabor Szikszai",93,0.707
"131","Nils Hamm",91,0.708
"132","Mark Winters",84,0.762
"133","Iain McCaig",83,0.705
"134","Magali Villeneuve",81,0.715
"135","David Palumbo",80,0.735
"136","Drew Tucker",77,0.735
"137","Chris Ostrowski",76,0.7
"138","Charles Urbach",76,0.706
"139","Ilse Gort",76,0.728
"140","Filip Burburan",72,0.696
"141","Mark Brill",69,0.737
"142","Eric Fortune",69,0.726
"143","Lie Setiawan",66,0.691
"144","Randy Gallegos",66,0.738
"145","Grzegorz Rutkowski",64,0.714
"146","Joe Slucher",64,0.713
"147","Cristi Balanescu",64,0.719
"148","Mark A. Nelson",63,0.74
"149","Lars Grant-West",60,0.71
"150","Rebecca Guay",59,0.686
"151","John Matson",58,0.737
"152","Sarah Finnigan",58,0.721
"153","Phil Foglio",58,0.702
"154","Brom",56,0.697
"155","Sam Wood",56,0.691
"156","Igor Kieryluk",56,0.729
"157","Karl Kopinski",53,0.718
"158","Pat Morrissey",52,0.697
"159","Jaime Jones",51,0.74
"160","Richard Kane Ferguson",51,0.683
"161","James Ryman",50,0.713
"162","Carl Critchlow",48,0.737
"163","Matt Thompson",46,0.662
"164","Wayne Reynolds",45,0.681
"165","Mitsuaki Sagiri",45,0.667
"166","Jana Schirmer & Johannes Voss",44,0.703
"167","John Howe",44,0.675
"168","Thomas M. Baxa",43,0.683
"169","Jim Murray",42,0.706
"170","Milivoj Ćeran",40,0.746
"171","Brian Snõddy",40,0.698
"172","Uriah Voth",38,0.694
"173","Tim Hildebrandt",37,0.71
"174","Don Hazeltine",36,0.658
"175","Andrew Mar",34,0.742
"176","Caroline Gariba",34,0.698
"177","Jeremy Enecio",32,0.692
"178","Edward P. Beard, Jr.",32,0.697
"179","Khang Le",31,0.733
"180","Marta Nael",30,0.697
"181","Livia Prima",30,0.679
"182","Tommy Arnold",28,0.747
"183","Ryan Yee",28,0.708
"184","Ralph Horsley",27,0.725
"185","Tony Szczudlo",27,0.694
"186","Dominick Domingo",27,0.706
"187","Willian Murai",27,0.638
"188","Mike Dringenberg",26,0.761
"189","Bryon Wackwitz",25,0.703
"190","Jokubas Uogintas",25,0.707
"191","Stephen Tappin",25,0.714
"192","G-host Lee",24,0.676
"193","Una Fricker",24,0.667
"194","Austin Hsu",24,0.715
"195","Mathias Kollros",24,0.709
"196","Suzanne Helmigh",23,0.667
"197","Jeremy Jarvis",23,0.661
"198","Matt Cavotta",23,0.696
"199","Pauline Voss",21,0.769
"200","Peter Mohrbacher",20,0.696
"201","Piotr Dura",20,0.708
"202","E. M. Gist",20,0.684
"203","Lucas Staniec",19,0.735
"204","Omar Rayyan",18,0.699
"205","Josu Hernaiz",18,0.737
"206","Ron Spencer",18,0.727
"207","Joseph Meehan",17,0.716
"208","Zack Stella",17,0.719
"209","Jakub Kasper",16,0.653
"210","Dave Allsop",16,0.759
"211","Iris Compiet",15,0.625
"212","Alan Pollack",15,0.667
"213","Dave Dorman",14,0.738
"214","Dany Orizio",14,0.721
"215","Bayard Wu",14,0.76
"216","Gabor Szikszai",14,0.703
"217","Lindsey Look",14,0.698
"218","Allen Williams",14,0.722
"219","Florian de Gesincourt",14,0.76
"220","Doug Chaffee",14,0.677
"221","Aaron Miller",13,0.714
"222","Jehan Choo",12,0.889
"223","Andreas Rocha",12,0.882
"224","David Hudnut",12,0.833
"225","Scott Hampton",12,0.762
"226","Bram Sels",12,0.765
"227","Mitchell Malloy",12,0.667
"228","Daniel Gelon",12,0.565
"229","Mark Romanoski",12,0.565
"230","Chuck Lukacs",12,0.679
"231","Michael Bruinsma",11,0.692
"232","Marc Simonetti",10,0.8
"233","Anthony Francisco",10,0.708
"234","Min Yum",10,0.633
"235","Kimonas Theodossiou",10,0.632
"236","Bud Cook",9,0.667
"237","Wesley Burt",9,0.632
