"","CardNames","DeckCount","WinrateAverage"
"1","Engineered Explosives",147,74.4
"2","Aether Gust",125,74.6
"3","Mystical Dispute",115,73.3
"4","Pithing Needle",99,75
"5","Force of Vigor",97,74.4
"6","Tormod's Crypt",93,75.4
"7","Lurrus of the Dream-Den",92,74.5
"8","Veil of Summer",90,72.3
"9","Soul-Guide Lantern",85,75
"10","Foundation Breaker",74,75
"11","Abrade",70,76.3
"12","Thoughtseize",66,72.7
"13","Chalice of the Void",65,71.2
"14","Dismember",64,73.6
"15","Endurance",63,74.8
"16","Spell Pierce",62,75.7
"17","Blood Moon",60,76
"18","Relic of Progenitus",58,74
"19","Path to Exile",51,72.4
"20","Fatal Push",48,72.9
"21","Force of Negation",48,75.8
"22","Shattering Spree",47,73.1
"23","Alpine Moon",44,72
"24","Leyline of Sanctity",43,73
"25","Rest in Peace",40,72
"26","Sanctifier en-Vec",40,74.1
"27","Void Mirror",40,71.8
"28","Ghost Quarter",39,74.7
"29","Leyline of the Void",39,73.8
"30","Ashiok, Dream Render",38,72.1
"31","Kozilek's Return",38,74.4
"32","Hurkyl's Recall",38,76.5
"33","Damping Sphere",35,71.7
"34","Grafdigger's Cage",34,73.7
"35","Bojuka Bog",34,74.3
"36","Unholy Heat",34,73.9
"37","Tireless Tracker",32,74.8
"38","Kozilek, Butcher of Truth",31,70.9
"39","Subtlety",31,77.8
"40","Prismatic Ending",30,73.2
"41","Teferi, Time Raveler",29,75.9
"42","Anger of the Gods",29,73.6
"43","Collective Brutality",29,71.8
"44","Wear // Tear",28,74
"45","Dispel",27,74.9
"46","Stony Silence",27,74.1
"47","Liquimetal Coating",27,72
"48","Plague Engineer",27,69.7
"49","Nihil Spellbomb",26,72.3
"50","Kor Firewalker",25,70.8
