"","CardNames","DeckCount","Winrate95Min"
"1","Abrade",70,72.2
"2","Tormod's Crypt",93,71.8
"3","Engineered Explosives",147,71.6
"4","Blood Moon",60,71.5
"5","Pithing Needle",99,71.5
"6","Aether Gust",125,71.5
"7","Spell Pierce",62,71.3
"8","Soul-Guide Lantern",85,71.3
"9","Subtlety",31,71.2
"10","Lurrus of the Dream-Den",92,71
"11","Foundation Breaker",74,70.9
"12","Hurkyl's Recall",38,70.8
"13","Force of Vigor",97,70.8
"14","Force of Negation",48,70.6
"15","Endurance",63,70.3
"16","Mystical Dispute",115,70
"17","Teferi, Time Raveler",29,69.4
"18","Relic of Progenitus",58,69.4
"19","Seasoned Pyromancer",13,69.3
"20","Dismember",64,69.1
"21","Damnation",13,68.8
"22","Ghost Quarter",39,68.7
"23","Sanctifier en-Vec",40,68.6
"24","Veil of Summer",90,68.5
"25","Thoughtseize",66,68.4
"26","Tireless Tracker",32,68.3
"27","Kozilek's Return",38,68.3
"28","Bojuka Bog",34,68
"29","Shattering Spree",47,68
"30","Arboreal Grazer",23,67.9
"31","Unholy Heat",34,67.8
"32","Leyline of the Void",39,67.8
"33","Fatal Push",48,67.7
"34","Dispel",27,67.6
"35","Grafdigger's Cage",34,67.5
"36","Path to Exile",51,67.5
"37","Leyline of Sanctity",43,67.4
"38","Wear // Tear",28,67.2
"39","Vapor Snag",8,67
"40","Drannith Magistrate",7,67
"41","Anger of the Gods",29,67
"42","Stony Silence",27,66.9
"43","Prismatic Ending",30,66.8
"44","Alpine Moon",44,66.8
"45","Chalice of the Void",65,66.8
"46","On Thin Ice",8,66.6
"47","Seal of Cleansing",18,66.6
"48","Defense Grid",4,66.4
"49","Wurmcoil Engine",16,66.4
"50","Kolaghan's Command",15,66.3
