"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"11","MZBlazer",4,25,0.88,0.687809692713765,0.974534603352267,66,"Izzet Murktide; Blue Living End","3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-07-04#mzblazer_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-29#mzblazer_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-01#mzblazer_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-06#mzblazer_-"
"12","kiko",3,26,0.769230769230769,0.563524903058613,0.910259889115425,60,"Azorius Taxes","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-06#kiko_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-27#kiko_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-05#kiko_th_place"
"13","musasabi",4,27,0.740740740740741,0.537151257723829,0.888855437154558,60,"Yawgmoth; Amulet Titan","2; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-07#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-13#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-14#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-23#musasabi_-"
"14","bobthedog",4,30,0.666666666666667,0.47187995521012,0.827125778473961,60,"Blue Living End; Stoneblade; Rakdos Midrange","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-07#bobthedog_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-13#bobthedog_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-14#bobthedog_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-28#bobthedog_rd_place"
"15","CharlieTheBananaKing",5,28,0.714285714285714,0.513331684551059,0.867763487428875,60,"WURG Control; UBRG Midrange","4; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-13#charliethebananaking_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-28#charliethebananaking_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-15#charliethebananaking_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-16#charliethebananaking_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-17#charliethebananaking_-"
"16","Xwhale",5,28,0.714285714285714,0.513331684551059,0.867763487428875,60,"Amulet Titan; Humans; Izzet Prowess; Asmo Urza","2; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-13#xwhale_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-14#xwhale_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-08#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-15#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-22#xwhale_-"
"17","_Tia93_",3,26,0.769230769230769,0.563524903058613,0.910259889115425,60,"Asmo Urza; Izzet Murktide","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-20#_tia__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-21#_tia__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-28#_tia__nd_place"
"18","Poderosisimo",3,25,0.76,0.548711982183314,0.906435560668257,57,"Grixis Shadow","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-14#poderosisimo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-28#poderosisimo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-07-04#poderosisimo_th_place"
"19","sneakymisato",3,24,0.791666666666667,0.578487156362747,0.928681382801945,57,"Asmo Urza; Amulet Titan","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-20#sneakymisato_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-27#sneakymisato_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-17#sneakymisato_-"
"20","PTarts2win",3,24,0.75,0.532887197577331,0.902269590525467,54,"Izzet Prowess; Mill; Izzet Murktide","1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-06#ptartswin_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-14#ptartswin_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-07-04#ptartswin_th_place"
