"","CardNames","DeckCount","WinrateAverage"
"1","Shrine of Burning Rage",1,100
"2","Monastery Mentor",1,100
"3","Chandra, Torch of Defiance",2,87.5
"4","Profane Memento",3,84.2
"5","Merfolk Trickster",3,83.3
"6","Tide Shaper",2,83.3
"7","Containment Priest",2,83.3
"8","Defense Grid",4,82.9
"9","Doom Blade",6,81.8
"10","Titania, Protector of Argoth",3,81.8
"11","By Force",4,81.5
"12","Mesmeric Orb",3,81.2
"13","Helix Pinnacle",3,81.2
"14","Galvanic Blast",5,80.6
"15","Ghirapur Aether Grid",5,80.6
"16","Vapor Snag",8,80
"17","Drannith Magistrate",7,80
"18","Welding Jar",4,80
"19","Harbinger of the Tides",4,80
"20","Sword of Fire and Ice",3,80
"21","Verdant Command",1,80
"22","Damnation",13,79.5
"23","Seasoned Pyromancer",13,79.3
"24","On Thin Ice",8,79.3
"25","Threads of Disloyalty",10,78.9
"26","Solitude",3,78.9
"27","Blossoming Calm",4,78.6
"28","Destiny Spinner",4,78.3
"29","Rip Apart",4,78.3
"30","Crypt Incursion",7,78
"31","Set Adrift",7,78
"32","Subtlety",31,77.8
"33","Spreading Seas",6,77.8
"34","Counterspell",6,77.8
"35","Ratchet Bomb",6,77.8
"36","Kaheera, the Orphanguard",6,77.8
"37","Into the Story",3,77.8
"38","Heliod's Intervention",2,77.8
"39","Dreadbore",2,77.8
"40","Barrage of Boulders",1,77.8
"41","Yasharn, Implacable Earth",1,77.8
"42","Reveillark",1,77.8
"43","Invasive Surgery",1,77.8
"44","Test of Talents",8,77.6
"45","Run Afoul",9,77.4
"46","Spatial Contortion",7,77.3
"47","Vanishing Verse",3,77.3
"48","Entrancing Melody",2,76.9
"49","Sorcerous Spyglass",10,76.7
"50","Narset, Parter of Veils",8,76.6
