"","SetCode","NoCopies","Winrate"
"1","MH2",4153,0.738
"2","LEA",2681,0.736
"3","MH1",2378,0.736
"4","ZEN",1933,0.741
"5","ONS",1470,0.734
"6","ELD",1152,0.737
"7","WWK",961,0.735
"8","KLD",941,0.741
"9","GPT",854,0.741
"10","RAV",825,0.727
"11","FUT",788,0.722
"12","DIS",780,0.735
"13","LRW",691,0.73
"14","5DN",689,0.742
"15","WAR",685,0.742
"16","THB",670,0.739
"17","M20",620,0.737
"18","NPH",596,0.74
"19","CSP",593,0.747
"20","ZNR",565,0.727
"21","SOM",551,0.735
"22","AER",508,0.731
"23","DKA",450,0.729
"24","ROE",439,0.723
"25","STX",428,0.752
"26","AKH",406,0.729
"27","IKO",400,0.738
"28","SHM",391,0.722
"29","TSP",368,0.729
"30","ICE",367,0.722
"31","MRD",365,0.727
"32","M11",364,0.727
"33","ARB",357,0.749
"34","KTK",354,0.726
"35","DRK",354,0.746
"36","ISD",351,0.728
"37","CON",344,0.721
"38","OGW",334,0.748
"39","ATQ",303,0.751
"40","EMN",298,0.727
"41","HOU",293,0.745
"42","DST",271,0.731
"43","SOK",263,0.74
"44","PC2",251,0.736
"45","AVR",250,0.739
"46","M21",250,0.735
"47","RTR",227,0.72
"48","JUD",191,0.744
"49","XLN",190,0.736
"50","MBS",182,0.733
"51","DOM",163,0.725
"52","ALA",159,0.721
"53","INV",151,0.724
"54","APC",146,0.726
"55","SOI",146,0.723
"56","CHK",139,0.721
"57","RNA",139,0.711
"58","M12",138,0.754
"59","PLC",134,0.736
"60","PLS",126,0.746
"61","DTK",123,0.728
"62","M19",118,0.725
"63","GRN",115,0.717
"64","DGM",111,0.754
"65","BFZ",107,0.701
"66","EVE",103,0.725
"67","M10",88,0.717
"68","MIR",79,0.711
"69","STH",78,0.72
"70","M15",77,0.736
"71","NEM",72,0.733
"72","GTC",72,0.677
"73","THS",69,0.717
"74","KHM",67,0.712
"75","TMP",61,0.74
"76","ORI",59,0.75
"77","WTH",53,0.717
"78","MOR",53,0.73
"79","ALL",51,0.7
"80","JOU",51,0.691
"81","FRF",49,0.736
"82","ULG",41,0.734
"83","CMD",41,0.741
"84","P02",33,0.757
"85","PTK",28,0.647
"86","ARN",25,0.679
"87","M13",24,0.786
"88","BOK",21,0.769
"89","ODY",18,0.659
"90","CN2",17,0.691
"91","LEG",16,0.738
"92","BNG",16,0.711
"93","RIX",10,0.737
"94","M14",7,0.75
"95","VIS",1,0.714
