"","Artist","NoCopies","Winrate"
"1","Rob Alexander",2626,0.736
"2","Christopher Rush",1347,0.739
"3","Mark Poole",904,0.743
"4","Adam Paquette",879,0.742
"5","Chippy",808,0.749
"6","Eric Deschamps",727,0.732
"7","John Avon",715,0.734
"8","Anastasia Ovchinnikova",636,0.754
"9","Ryan Pancoast",567,0.732
"10","Aleksi Briclot",556,0.725
"11","Philip Straub",525,0.755
"12","Tomasz Jedruszek",524,0.736
"13","Titus Lunter",485,0.737
"14","Shelly Wan",441,0.742
"15","Mark Zug",438,0.715
"16","Ron Spears",436,0.736
"17","Simon Dominic",424,0.747
"18","Vance Kovacs",418,0.737
"19","Martina Fackova",410,0.753
"20","Steve Argyle",408,0.733
"21","Paul Scott Canavan",398,0.755
"22","Izzy",374,0.725
"23","Douglas Shuler",373,0.731
"24","Cliff Childs",368,0.747
"25","Cyril Van Der Haegen",358,0.732
"26","Terese Nielsen",350,0.736
"27","John Stanko",336,0.745
"28","Jonas De Ro",329,0.75
"29","Jason Rainville",326,0.727
"30","Jason Chan",307,0.732
"31","Anthony S. Waters",305,0.723
"32","Svetlin Velinov",294,0.748
"33","Franz Vohwinkel",293,0.717
"34","Yeong-Hao Han",284,0.743
"35","Kev Walker",282,0.715
"36","Dave Kendall",281,0.73
"37","Kari Christensen",271,0.751
"38","Ekaterina Burmak",271,0.732
"39","Raymond Swanland",270,0.733
"40","Daarken",265,0.726
"41","Chris Rallis",264,0.746
"42","Seb McKinnon",264,0.729
"43","Warren Mahy",257,0.736
"44","Pete Venters",248,0.74
"45","Todd Lockwood",247,0.738
"46","Vincent Proce",246,0.734
"47","Darrell Riche",238,0.753
"48","Tom Wänerstrand",235,0.739
"49","Randy Vargas",229,0.741
"50","Alayna Danner",227,0.733
"51","Chase Stone",227,0.73
"52","Richard Whitters",224,0.749
"53","Christine Choi",223,0.735
"54","Jesper Myrfors",221,0.716
"55","Ben Thompson",220,0.747
"56","Lake Hurwitz",219,0.716
"57","Lucas Graciano",218,0.739
"58","Richard Wright",211,0.753
"59","Greg Staples",206,0.724
"60","Sam Burley",203,0.728
"61","Martina Pilcerova",199,0.745
"62","Jeff Miracola",197,0.741
"63","Dan Frazier",196,0.727
"64","Volkan Baǵa",193,0.733
"65","Mike Bierek",192,0.742
"66","Mark Tedin",191,0.727
"67","Jung Park",187,0.748
"68","Howard Lyon",187,0.748
"69","Scott Murphy",186,0.742
"70","Adam Rex",186,0.753
"71","Sidharth Chaturvedi",177,0.715
"72","Christopher Moeller",177,0.734
"73","Greg Hildebrandt",170,0.747
"74","Jason Felix",170,0.752
"75","Dan Scott",166,0.734
"76","Cynthia Sheppard",163,0.731
"77","David Martin",161,0.748
"78","James Paick",161,0.73
"79","Johann Bodin",160,0.711
"80","Wayne England",159,0.744
"81","rk post",159,0.712
"82","Heather Hudson",156,0.733
"83","Winona Nelson",153,0.73
"84","Nicholas Gregory",152,0.731
"85","Chris Rahn",149,0.724
"86","Matt Stewart",149,0.723
"87","Anson Maddocks",147,0.736
"88","David Rapoza",144,0.761
"89","Kieran Yanner",144,0.752
"90","Daniel Ljunggren",144,0.739
"91","Steven Belledin",141,0.742
"92","Joe Slucher",136,0.738
"93","Noah Bradley",136,0.721
"94","Michael Komarck",131,0.698
"95","Charles Urbach",130,0.728
"96","Dimitar Marinski",129,0.742
"97","Raoul Vitale",129,0.718
"98","Johannes Voss",128,0.718
"99","Caroline Gariba",126,0.76
"100","Dmitry Burmak",117,0.747
"101","Livia Prima",117,0.734
"102","Wisnu Tan",116,0.717
"103","Lius Lasahido",114,0.736
"104","Craig J Spearing",113,0.737
"105","Victor Adame Minguez",113,0.715
"106","Michael C. Hayes",109,0.749
"107","Michael Sutfin",109,0.677
"108","Jean-Sébastien Rossbach",107,0.737
"109","Slawomir Maniak",104,0.743
"110","Evan Shipard",101,0.747
"111","Uriah Voth",96,0.737
"112","Donato Giancola",96,0.707
"113","Gabor Szikszai",94,0.737
"114","Nils Hamm",94,0.718
"115","Mark Winters",92,0.739
"116","Bastien L. Deharme",91,0.747
"117","Jesper Ejsing",88,0.747
"118","Igor Kieryluk",88,0.705
"119","Grzegorz Rutkowski",81,0.735
"120","Lars Grant-West",81,0.718
"121","Amy Weber",80,0.756
"122","Khang Le",79,0.747
"123","Pat Morrissey",79,0.701
"124","Richard Kane Ferguson",78,0.691
"125","John Howe",75,0.739
"126","John Matson",72,0.714
"127","Jana Schirmer & Johannes Voss",71,0.722
"128","Alexander Forssberg",68,0.759
"129","Campbell White",67,0.695
"130","Zoltan Boros & Gabor Szikszai",66,0.731
"131","Iris Compiet",63,0.748
"132","Lie Setiawan",61,0.738
"133","Filip Burburan",61,0.702
"134","G-host Lee",60,0.755
"135","Magali Villeneuve",59,0.747
"136","Jim Nelson",58,0.725
"137","Mathias Kollros",56,0.727
"138","Yongjae Choi",55,0.704
"139","Tomas Giorello",53,0.751
"140","Lindsey Look",53,0.723
"141","Justin Murray",52,0.728
"142","Tommy Arnold",52,0.715
"143","Willian Murai",52,0.693
"144","Rebecca Guay",52,0.714
"145","Karl Kopinski",51,0.746
"146","Sarah Finnigan",48,0.73
"147","Milivoj Ćeran",46,0.744
"148","Brian Snõddy",46,0.704
"149","Scott M. Fischer",45,0.708
"150","Zoltan Boros",43,0.704
"151","Deruchenko Alexander",39,0.739
"152","Drew Tucker",39,0.756
"153","Ryan Yee",39,0.716
"154","Fred Fields",38,0.735
"155","Erica Yang",38,0.736
"156","Thomas M. Baxa",37,0.703
"157","Mark A. Nelson",36,0.754
"158","Brom",36,0.689
"159","Heonhwa Choe",35,0.667
"160","James Ryman",35,0.722
"161","Cristi Balanescu",35,0.731
"162","Zack Stella",34,0.751
"163","Chris Ostrowski",34,0.73
"164","Tim Hildebrandt",34,0.714
"165","Phil Foglio",33,0.757
"166","Kimonas Theodossiou",33,0.702
"167","Johan Grenier",32,0.762
"168","David Palumbo",32,0.721
"169","Jaime Jones",31,0.727
"170","Brandon Kitkouski",30,0.776
"171","Dominick Domingo",30,0.721
"172","Luca Zontini",30,0.722
"173","Wayne Reynolds",29,0.708
"174","Carl Critchlow",28,0.786
"175","Mitsuaki Sagiri",28,0.647
"176","Jeremy Enecio",27,0.73
"177","Matt Cavotta",27,0.7
"178","Jama Jurabaev",25,0.725
"179","Randy Gallegos",25,0.69
"180","Andreas Rocha",24,0.788
"181","Austin Hsu",24,0.746
"182","Alex Horley-Orlandelli",24,0.689
"183","Ron Spencer",24,0.656
"184","Mark Brill",23,0.756
"185","Don Hazeltine",23,0.718
"186","Bayard Wu",23,0.778
"187","DiTerlizzi",22,0.752
"188","Jeremy Jarvis",20,0.695
"189","Tony Szczudlo",20,0.686
"190","Tyler Jacobson",19,0.726
"191","Chuck Lukacs",19,0.726
"192","Eric Fortune",18,0.708
"193","Jokubas Uogintas",18,0.733
"194","Chris Seaman",17,0.771
"195","Melissa A. Benson",17,0.741
