"","SetCode","NoCopies","Winrate"
"1","LEA",2864,0.617
"2","ICE",1383,0.641
"3","MRD",1046,0.626
"4","SOM",691,0.63
"5","CLB",677,0.617
"6","VOW",626,0.621
"7","NEO",590,0.614
"8","MH2",483,0.618
"9","MH1",463,0.615
"10","ZEN",426,0.632
"11","DMU",406,0.638
"12","AFR",364,0.602
"13","TOR",357,0.63
"14","KHM",328,0.64
"15","JUD",327,0.63
"16","TSP",320,0.613
"17","ALL",317,0.626
"18","IKO",313,0.622
"19","BRO",298,0.63
"20","MBS",292,0.632
"21","ALA",292,0.613
"22","KTK",277,0.608
"23","LRW",267,0.627
"24","USG",249,0.629
"25","WWK",235,0.619
"26","AER",235,0.63
"27","SNC",232,0.609
"28","DIS",181,0.64
"29","ROE",178,0.628
"30","M11",174,0.653
"31","ULG",173,0.617
"32","LEG",163,0.607
"33","MMQ",160,0.616
"34","FRF",159,0.641
"35","DKA",144,0.625
"36","ATQ",144,0.579
"37","SOI",142,0.581
"38","VIS",141,0.612
"39","BOK",129,0.631
"40","INV",126,0.651
"41","NPH",125,0.614
"42","RTR",119,0.615
"43","DOM",118,0.587
"44","MID",112,0.633
"45","ORI",108,0.624
"46","MOR",98,0.63
"47","AKH",90,0.616
"48","XLN",84,0.629
"49","ONE",84,0.506
"50","AVR",83,0.632
"51","CMR",79,0.655
"52","C16",78,0.646
"53","ODY",76,0.627
"54","M21",76,0.615
"55","GTC",67,0.636
"56","EVE",66,0.606
"57","SHM",64,0.593
"58","GPT",63,0.556
"59","M19",59,0.592
"60","M13",57,0.652
"61","RAV",56,0.599
"62","RNA",56,0.651
"63","CSP",51,0.656
"64","PLS",50,0.661
"65","APC",44,0.627
"66","HOU",42,0.66
"67","ONS",41,0.62
"68","DGM",40,0.664
"69","STX",39,0.598
"70","M12",37,0.541
"71","OGW",33,0.626
"72","ISD",32,0.591
"73","WAR",30,0.609
"74","ELD",29,0.59
"75","DST",28,0.579
"76","CN2",28,0.601
"77","ZNR",27,0.625
"78","TMP",27,0.593
"79","THS",25,0.643
"80","ARN",21,0.562
"81","CHK",20,0.661
"82","SCG",20,0.652
"83","P02",16,0.64
"84","BFZ",14,0.683
"85","NEM",12,0.611
"86","THB",11,0.596
"87","JMP",11,0.606
"88","FUT",10,0.556
"89","SOK",8,0.679
"90","5DN",8,0.5
"91","M10",7,0.5
"92","PCY",6,0.69
"93","ARB",6,0.583
"94","M14",4,0.704
"95","GRN",4,0.583
"96","CNS",3,0.6
"97","FEM",2,0.714
"98","LGN",2,0.583
"99","EMN",2,0.5
"100","KLD",1,0.667
