"","SetCode","NoCopies","Winrate"
"1","MH2",2578,0.698
"2","LEA",2414,0.689
"3","ICE",1710,0.698
"4","ZEN",1282,0.692
"5","TMP",1210,0.688
"6","ONS",979,0.692
"7","MH1",928,0.685
"8","LRW",895,0.692
"9","ALL",883,0.693
"10","USG",616,0.683
"11","NEM",599,0.702
"12","LEB",519,0.702
"13","NPH",486,0.703
"14","MRD",419,0.67
"15","ELD",419,0.681
"16","STX",397,0.716
"17","FUT",348,0.681
"18","LEG",340,0.694
"19","ULG",306,0.676
"20","CSP",283,0.687
"21","M20",243,0.68
"22","ZNR",243,0.678
"23","EXO",235,0.672
"24","WAR",220,0.677
"25","ISD",218,0.701
"26","THB",217,0.694
"27","PLC",212,0.672
"28","AVR",211,0.675
"29","DKA",210,0.692
"30","WWK",204,0.687
"31","DST",179,0.683
"32","DRK",178,0.678
"33","MBS",174,0.691
"34","ALA",167,0.684
"35","HOU",164,0.701
"36","MMQ",160,0.676
"37","SOM",160,0.68
"38","GPT",155,0.671
"39","GTC",155,0.673
"40","STH",144,0.677
"41","WTH",143,0.711
"42","MIR",141,0.659
"43","SCG",138,0.675
"44","M11",127,0.68
"45","SOK",118,0.701
"46","ODY",115,0.69
"47","RAV",115,0.665
"48","ROE",114,0.678
"49","CN2",104,0.701
"50","CMR",103,0.7
"51","RTR",101,0.678
"52","JUD",100,0.665
"53","M19",94,0.705
"54","5DN",93,0.668
"55","TSP",92,0.679
"56","CMD",91,0.687
"57","PLS",86,0.705
"58","AER",85,0.677
"59","CHK",83,0.664
"60","VIS",82,0.659
"61","GRN",80,0.688
"62","CON",77,0.683
"63","PC2",75,0.659
"64","C18",72,0.718
"65","EVE",68,0.693
"66","OGW",66,0.776
"67","AFR",61,0.645
"68","BNG",59,0.735
"69","M15",55,0.653
"70","JMP",55,0.659
"71","IKO",54,0.698
"72","AKH",53,0.714
"73","C14",50,0.715
"74","MOR",47,0.653
"75","C20",39,0.667
"76","M13",39,0.65
"77","TOR",38,0.664
"78","C13",36,0.685
"79","ARB",36,0.667
"80","M21",34,0.671
"81","SHM",33,0.694
"82","APC",32,0.653
"83","BBD",30,0.685
"84","CNS",29,0.713
"85","DIS",28,0.66
"86","MID",26,0.639
"87","POR",25,0.702
"88","FRF",24,0.694
"89","XLN",23,0.684
"90","HML",20,0.686
"91","FEM",20,0.686
"92","M10",17,0.697
"93","BOK",13,0.719
"94","C19",13,0.66
"95","ATQ",13,0.718
"96","KLD",12,0.648
"97","BFZ",11,0.731
"98","PTK",8,0.692
"99","KHM",8,0.6
"100","EMN",6,0.6
"101","INV",5,0.647
"102","ORI",4,0.6
"103","KTK",4,0.55
"104","SOI",4,0.75
"105","DOM",4,0.63
"106","RNA",3,0.722
"107","THS",2,0.625
"108","M12",1,0.5
