"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown,,Unknown,Unknown,Unknown
"Tiers 1.5",Doomsday,Doomsday - Madness - Unknown - Karn   Post,Doomsday - Madness - UW   Control,Doomsday,Doomsday
"Tiers 2",UW   Control - Madness - Jeskai Tempo,UW   Control,,Madness - UW   Control - Karn   Post - Jeskai Tempo,Madness - UW   Control - Karn   Post - Jeskai Tempo
"Tiers 2.5",Karn   Post,Jeskai Tempo,Karn   Post - Jeskai Tempo,,
