"","PLAYERS","NB_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"63","signblindman",2,15,0.666666666666667,0.383803732541154,0.881758896633119,30,"Gruul Midrange","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#signblindman_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#signblindman_st_place"
"64","Darkiundsa",2,16,0.625,0.354346094302078,0.848016324918878,30,"WURG Control; WUBG Control","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#darkiundsa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#darkiundsa_th_place"
"65","shellington5385",2,15,0.666666666666667,0.383803732541154,0.881758896633119,30,"Boros Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#shellington_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#shellington_th_place"
"66","Larry11",2,15,0.666666666666667,0.383803732541154,0.881758896633119,30,"Devoted; Gruul Midrange","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#larry_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#larry_st_place"
"67","Butakov",2,14,0.714285714285714,0.418964742816338,0.916110681692872,30,"Humans; Jund Midrange","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#butakov_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#butakov_th_place"
"68","Karolmo",2,15,0.666666666666667,0.383803732541154,0.881758896633119,30,"Titan Shift; Jund Midrange","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#karolmo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#karolmo_th_place"
"69","egadd2894",1,11,0.909090909090909,0.587220083011617,0.997701027786186,30,"Scapeshift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#egadd_st_place"
"70","Venom1",2,15,0.666666666666667,0.383803732541154,0.881758896633119,30,"Jund Midrange; Rakdos Prowess","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#venom_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#venom_th_place"
"71","Hoey07",2,14,0.714285714285714,0.418964742816338,0.916110681692872,30,"Jund Prowess; Scapeshift","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#hoey_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#hoey_th_place"
"72","MadMaxErnst",2,14,0.714285714285714,0.418964742816338,0.916110681692872,30,"Rakdos Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#madmaxernst_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#madmaxernst_th_place"
"73","McWinSauce",1,10,0.9,0.554983882971805,0.997471421455538,27,"UBRG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#mcwinsauce_st_place"
"74","XxShuicunexX",2,14,0.642857142857143,0.351380110615992,0.872401570140841,27,"Burn","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#xxshuicunexx_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#xxshuicunexx_nd_place"
"75","Saviall",1,10,0.9,0.554983882971805,0.997471421455538,27,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#saviall_st_place"
"76","MATTHEWFOULKES",2,14,0.642857142857143,0.351380110615992,0.872401570140841,27,"Uroza; Jund Prowess","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#matthewfoulkes_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#matthewfoulkes_th_place"
"77","sendoh007",2,14,0.642857142857143,0.351380110615992,0.872401570140841,27,"Gruul Midrange","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#sendoh_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#sendoh_th_place"
"78","Thrall90",2,14,0.642857142857143,0.351380110615992,0.872401570140841,27,"Jund Midrange","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#thrall_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#thrall_th_place"
"79","leclairandy",1,10,0.9,0.554983882971805,0.997471421455538,27,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#leclairandy_st_place"
"80","shadow_PT",2,14,0.642857142857143,0.351380110615992,0.872401570140841,27,"Rakdos Prowess","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#shadow_pt_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#shadow_pt_th_place"
"81","Fatcaster_Mage",1,10,0.8,0.443904537692359,0.974789273673167,24,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#fatcaster_mage_rd_place"
"82","elad3127",1,10,0.8,0.443904537692359,0.974789273673167,24,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#elad_nd_place"
"83","blackcat1922",1,10,0.8,0.443904537692359,0.974789273673167,24,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#blackcat_rd_place"
"84","kbr3",1,10,0.8,0.443904537692359,0.974789273673167,24,"Hardened Scales","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#kbr_nd_place"
"85","Adam_Hen",1,10,0.8,0.443904537692359,0.974789273673167,24,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#adam_hen_nd_place"
"86","eminemberry",2,14,0.571428571428571,0.288609400038307,0.823388910017882,24,"Burn","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#eminemberry_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#eminemberry_th_place"
"87","Capitano_CL",2,14,0.571428571428571,0.288609400038307,0.823388910017882,24,"Rakdos Prowess; Boros Prowess","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#capitano_cl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#capitano_cl_th_place"
"88","TheTunnelingCat",1,10,0.8,0.443904537692359,0.974789273673167,24,"Eldrazi Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#thetunnelingcat_nd_place"
"89","Sonic_Smasher",1,10,0.8,0.443904537692359,0.974789273673167,24,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#sonic_smasher_nd_place"
"90","UmekawaneikU",1,10,0.8,0.443904537692359,0.974789273673167,24,"Jund Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#umekawaneiku_st_place"
"91","cftsoc3",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Bant Blink","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#cftsoc_th_place"
"92","J4V13R",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Golgari Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#jvr_th_place"
"93","retiredcapivara",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Dredge","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#retiredcapivara_th_place"
"94","sokos13",1,10,0.7,0.347547149940003,0.933260488822266,21,"UBRG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#sokos_th_place"
"95","Wisnia",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#wisnia_th_place"
"96","ZoeR",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#zoer_th_place"
"97","Gerardo94",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Delver","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#gerardo_th_place"
"98","Edel",1,10,0.7,0.347547149940003,0.933260488822266,21,"Abzan Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#edel_th_place"
"99","Callad0",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Primeval Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#callad_th_place"
"100","MHayashi",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Boros Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#mhayashi_th_place"
"101","BlueLips",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#bluelips_th_place"
"102","Gsy",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Boros Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#gsy_rd_place"
"103","ColletClow",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#colletclow_th_place"
"104","NinoMtg",1,10,0.7,0.347547149940003,0.933260488822266,21,"Delver","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#ninomtg_th_place"
"105","pokerswizard",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Boros Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#pokerswizard_th_place"
"106","aspiringspike",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Azorius Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#aspiringspike_th_place"
"107","Wizard_Of_Jack",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#wizard_of_jack_th_place"
"108","CaptainFarbosa",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Sultai Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#captainfarbosa_th_place"
"109","kanister",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Rakdos Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#kanister_th_place"
"110","nathansteuer",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Mardu Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#nathansteuer_th_place"
"111","HarlanMTG",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#harlanmtg_th_place"
"112","StormQrow",1,10,0.7,0.347547149940003,0.933260488822266,21,"Titan Shift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#stormqrow_nd_place"
"113","Lavaridge",1,8,0.875,0.473490329124793,0.996840276468748,21,"UBRG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#lavaridge_th_place"
"114","zibb",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#zibb_th_place"
"115","TheYostWithTheMost",1,8,0.875,0.473490329124793,0.996840276468748,21,"Rakdos Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#theyostwiththemost_th_place"
"116","Marvellion",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#marvellion_th_place"
"117","jessy_samek",1,8,0.75,0.349144205587176,0.968145973750056,18,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#jessy_samek_th_place"
"118","GoblinK1ng",1,8,0.75,0.349144205587176,0.968145973750056,18,"Goblins","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#goblinkng_th_place"
"119","gavinwen",1,8,0.75,0.349144205587176,0.968145973750056,18,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#gavinwen_th_place"
"120","rusty_gates",1,8,0.75,0.349144205587176,0.968145973750056,18,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#rusty_gates_th_place"
"121","Predict",1,8,0.75,0.349144205587176,0.968145973750056,18,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#predict_th_place"
"122","Danny_Bambino",1,8,0.75,0.349144205587176,0.968145973750056,18,"UBRG Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#danny_bambino_th_place"
"123","DauntedPanda",1,8,0.75,0.349144205587176,0.968145973750056,18,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#dauntedpanda_th_place"
"124","beestjes",1,8,0.75,0.349144205587176,0.968145973750056,18,"Domain Zoo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#beestjes_th_place"
"125","toondoslav",1,8,0.75,0.349144205587176,0.968145973750056,18,"Niv To Light","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#toondoslav_st_place"
"126","lucasensei2",1,8,0.75,0.349144205587176,0.968145973750056,18,"Electro Balance","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#lucasensei_nd_place"
"127","TheRealRickJames",1,8,0.75,0.349144205587176,0.968145973750056,18,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#therealrickjames_th_place"
"128","cws",1,8,0.75,0.349144205587176,0.968145973750056,18,"Gifts Storm","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#cws_th_place"
"129","Happymil24",1,8,0.75,0.349144205587176,0.968145973750056,18,"Mono Red Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#happymil_th_place"
"130","D00mwake",1,8,0.75,0.349144205587176,0.968145973750056,18,"Boros Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#dmwake_th_place"
"131","dm95",1,8,0.75,0.349144205587176,0.968145973750056,18,"Delver","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#dm_th_place"
"132","__BMJ__",1,8,0.75,0.349144205587176,0.968145973750056,18,"Devoted","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#__bmj___th_place"
"133","Neravius",1,8,0.75,0.349144205587176,0.968145973750056,18,"Niv To Light","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#neravius_th_place"
"134","SpiderSpace",1,8,0.75,0.349144205587176,0.968145973750056,18,"Grinding Breach","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#spiderspace_th_place"
"135","falcon160",1,8,0.75,0.349144205587176,0.968145973750056,18,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#falcon_th_place"
"136","lovealienzzz",1,8,0.75,0.349144205587176,0.968145973750056,18,"Delver","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#lovealienzzz_th_place"
"137","SaxManSax",1,8,0.75,0.349144205587176,0.968145973750056,18,"Titan Shift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#saxmansax_th_place"
"138","forenmagra",1,8,0.75,0.349144205587176,0.968145973750056,18,"Saheeli Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#forenmagra_th_place"
"139","RealJoy",1,8,0.75,0.349144205587176,0.968145973750056,18,"Infect","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#realjoy_st_place"
"140","Bishark",1,8,0.75,0.349144205587176,0.968145973750056,18,"Merfolk","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#bishark_rd_place"
"141","Andrea94",1,8,0.75,0.349144205587176,0.968145973750056,18,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#andrea_th_place"
"142","sacca93",1,8,0.75,0.349144205587176,0.968145973750056,18,"Primeval Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#sacca_th_place"
"143","xakx47x",1,8,0.75,0.349144205587176,0.968145973750056,18,"Devoted","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#xakxx_th_place"
"144","Jenara19",1,8,0.75,0.349144205587176,0.968145973750056,18,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#jenara_th_place"
"145","rofelos",1,8,0.75,0.349144205587176,0.968145973750056,18,"Bant Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#rofelos_th_place"
"146","RCMerriam",1,8,0.75,0.349144205587176,0.968145973750056,18,"Orzhov Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#rcmerriam_th_place"
"147","abisbocci",1,8,0.75,0.349144205587176,0.968145973750056,18,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#abisbocci_th_place"
"148","HeyNongMan",1,8,0.75,0.349144205587176,0.968145973750056,18,"Rakdos Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#heynongman_th_place"
"149","Yamada",1,8,0.75,0.349144205587176,0.968145973750056,18,"Devoted","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#yamada_th_place"
"150","tabulartony1",1,8,0.75,0.349144205587176,0.968145973750056,18,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#tabulartony_th_place"
"151","Doni_Dominaria",1,8,0.75,0.349144205587176,0.968145973750056,18,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#doni_dominaria_th_place"
"152","Do0mSwitch",1,8,0.75,0.349144205587176,0.968145973750056,18,"Azorius Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#domswitch_th_place"
"153","Lucabireskusku",1,8,0.75,0.349144205587176,0.968145973750056,18,"Thopter Combo","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#lucabireskusku_th_place"
"154","AlecInTheInk",1,8,0.75,0.349144205587176,0.968145973750056,18,"Titan Shift","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#alecintheink_th_place"
"155","maximusdee",1,8,0.75,0.349144205587176,0.968145973750056,18,"Primeval Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#maximusdee_th_place"
"156","A22en",1,8,0.75,0.349144205587176,0.968145973750056,18,"Bant Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#aen_th_place"
"157","Amigobriell",1,8,0.75,0.349144205587176,0.968145973750056,18,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#amigobriell_th_place"
"158","DoctorofTime",1,8,0.75,0.349144205587176,0.968145973750056,18,"Living End","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#doctoroftime_rd_place"
"159","Namkrew___Lacsap",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Primeval Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#namkrew___lacsap_th_place"
