"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver,Mono Red Red   Prison - Conflict(Karn   Echoes,TES),Mono Red Red   Prison - Izzet Delver,Izzet Delver - Mono Red Red   Prison,Izzet Delver - Mono Red Red   Prison
"Tiers 1.5",Jeskai Tempo - WURG Control - Conflict(Doomsday,TES) - Sneak  &  Show - Mono Red Red   Prison,Slow   Depths - Mono Green Post - WURG Control - Jeskai Tempo,Jeskai Tempo - WURG Control - Conflict(Karn   Echoes,TES),Jeskai Tempo - WURG Control - Conflict(Karn   Echoes,TES),Jeskai Tempo - WURG Control - Conflict(Karn   Echoes,TES)
"Tiers 2",Karn   Post - Elves - Lands,Izzet Delver - Elves - Karn   Post - Conflict(Doomsday,TES) - Sneak  &  Show,Slow   Depths - Conflict(Doomsday,TES) - Sneak  &  Show - Karn   Post - Elves - Mono Green Post,Conflict(Doomsday,TES) - Sneak  &  Show - Slow   Depths - Karn   Post - Elves - Mono Green Post,Conflict(Doomsday,TES) - Sneak  &  Show - Slow   Depths - Karn   Post - Elves - Mono Green Post
"Tiers 2.5",Conflict(Karn   Echoes,TES) - Slow   Depths - Mono Green Post,Lands,Lands,Lands,Lands
