"","SetCode","NoCopies","Winrate"
"1","MH2",10405,0.71
"2","LEA",5279,0.711
"3","MH1",4848,0.711
"4","ZEN",4181,0.712
"5","ONS",3053,0.708
"6","ELD",2130,0.716
"7","GPT",1610,0.714
"8","KLD",1551,0.715
"9","WWK",1523,0.704
"10","LRW",1504,0.705
"11","5DN",1465,0.712
"12","SOM",1463,0.706
"13","CSP",1270,0.716
"14","M20",1255,0.711
"15","WAR",1251,0.709
"16","RAV",1231,0.701
"17","NPH",1228,0.707
"18","DIS",1210,0.71
"19","FUT",1122,0.701
"20","ATQ",1116,0.709
"21","IKO",1104,0.71
"22","STX",1086,0.711
"23","MRD",1065,0.707
"24","THB",1045,0.707
"25","ROE",989,0.706
"26","ZNR",983,0.697
"27","TSP",832,0.7
"28","ICE",827,0.701
"29","ARB",817,0.722
"30","DKA",752,0.716
"31","EMN",690,0.712
"32","AER",690,0.708
"33","SHM",648,0.708
"34","CON",644,0.701
"35","DRK",620,0.718
"36","MBS",614,0.705
"37","OGW",606,0.718
"38","PC2",515,0.727
"39","HOU",506,0.72
"40","KTK",473,0.694
"41","RTR",472,0.711
"42","ISD",456,0.707
"43","M19",448,0.702
"44","AKH",437,0.72
"45","APC",412,0.714
"46","SOK",411,0.706
"47","M21",372,0.708
"48","DST",358,0.687
"49","AFR",341,0.711
"50","CMD",334,0.714
"51","AVR",332,0.699
"52","CHK",331,0.687
"53","DTK",330,0.701
"54","ALA",311,0.7
"55","DGM",270,0.705
"56","GTC",266,0.681
"57","INV",260,0.7
"58","M11",256,0.705
"59","NEM",247,0.715
"60","XLN",242,0.691
"61","PLS",241,0.702
"62","PLC",234,0.723
"63","BFZ",229,0.704
"64","RNA",215,0.684
"65","SOI",208,0.695
"66","M12",192,0.701
"67","JOU",187,0.682
"68","DOM",177,0.711
"69","STH",169,0.698
"70","M10",141,0.695
"71","TMP",135,0.719
"72","JUD",129,0.705
"73","EVE",127,0.717
"74","GRN",127,0.687
"75","MOR",106,0.69
"76","WTH",99,0.69
"77","ULG",96,0.699
"78","MIR",86,0.711
"79","FRF",83,0.688
"80","THS",81,0.717
"81","ORI",80,0.712
"82","KHM",78,0.702
"83","P02",69,0.678
"84","M15",56,0.717
"85","PTK",55,0.659
"86","ALL",51,0.682
"87","CN2",37,0.656
"88","ARN",33,0.652
"89","M13",31,0.698
"90","LEG",24,0.717
"91","BOK",21,0.756
"92","BNG",19,0.686
"93","ODY",14,0.688
"94","C14",11,0.667
"95","RIX",6,0.733
"96","TOR",5,0.708
"97","SCG",4,0.625
