"","SetCode","NoCopies","Winrate"
"1","LEA",2919,0.668
"2","MRD",1665,0.669
"3","ICE",1274,0.67
"4","MH2",671,0.667
"5","MH1",538,0.666
"6","SOM",526,0.669
"7","TSP",447,0.665
"8","LRW",407,0.662
"9","VOW",370,0.669
"10","M11",345,0.67
"11","IKO",334,0.66
"12","NEO",333,0.646
"13","AFR",327,0.666
"14","XLN",326,0.669
"15","MBS",316,0.661
"16","DST",312,0.671
"17","MMQ",311,0.67
"18","JUD",306,0.675
"19","USG",303,0.665
"20","TOR",264,0.669
"21","ALA",253,0.67
"22","DKA",251,0.671
"23","WWK",249,0.664
"24","BOK",246,0.67
"25","ZEN",240,0.667
"26","KHM",230,0.658
"27","DOM",229,0.662
"28","RAV",227,0.68
"29","KTK",221,0.677
"30","RTR",210,0.67
"31","M13",208,0.67
"32","CN2",193,0.673
"33","C16",192,0.669
"34","ROE",181,0.674
"35","SOI",172,0.669
"36","ULG",167,0.672
"37","DRK",160,0.685
"38","CSP",150,0.67
"39","ISD",146,0.672
"40","DIS",139,0.674
"41","NPH",136,0.668
"42","VIS",134,0.658
"43","APC",128,0.655
"44","FRF",127,0.66
"45","SHM",126,0.663
"46","INV",118,0.657
"47","GPT",118,0.655
"48","EVE",97,0.658
"49","ONS",96,0.67
"50","ELD",91,0.693
"51","CHK",86,0.655
"52","LEG",85,0.646
"53","5DN",84,0.688
"54","CMR",83,0.688
"55","AVR",83,0.641
"56","M10",81,0.667
"57","M12",79,0.667
"58","ZNR",78,0.662
"59","TMP",70,0.677
"60","STX",66,0.704
"61","THS",66,0.664
"62","ARN",65,0.669
"63","MID",65,0.663
"64","RNA",58,0.635
"65","HOU",57,0.691
"66","ATQ",57,0.682
"67","GTC",57,0.662
"68","M21",54,0.692
"69","ORI",53,0.667
"70","EMN",52,0.649
"71","KLD",49,0.655
"72","AKH",46,0.649
"73","OGW",45,0.647
"74","SCG",23,0.65
"75","MOR",23,0.588
"76","M15",22,0.664
"77","THB",20,0.658
"78","FUT",19,0.625
"79","PLS",18,0.676
"80","LGN",16,0.68
"81","ODY",13,0.611
"82","P02",12,0.792
"83","JMP",12,0.667
"84","M20",10,0.682
"85","PLC",9,0.571
"86","M14",8,0.556
"87","FEM",8,0.643
"88","GRN",6,0.708
"89","STH",5,0.622
"90","BNG",4,0.714
"91","JOU",4,0.714
"92","BFZ",3,0.706
"93","WAR",3,0.714
"94","M19",3,0.571
"95","AER",2,0.8
"96","ARB",2,0.667
"97","SOK",1,0.571
