"","Artist","NoCopies","Winrate"
"1","Rob Alexander",393,0.655
"2","Christopher Rush",387,0.634
"3","Greg Staples",309,0.643
"4","Mark Poole",303,0.632
"5","Anson Maddocks",249,0.599
"6","Kaja Foglio",247,0.638
"7","Richard Thomas",215,0.632
"8","Steven Belledin",214,0.631
"9","John Avon",199,0.649
"10","Marc Simonetti",196,0.644
"11","Douglas Shuler",192,0.659
"12","Dan Scott",190,0.617
"13","Dan Frazier",169,0.633
"14","Alex Horley-Orlandelli",162,0.646
"15","Irina Nordsol",160,0.648
"16","Jesper Myrfors",147,0.667
"17","Yeong-Hao Han",146,0.654
"18","Raoul Vitale",142,0.632
"19","Rebecca Guay",128,0.603
"20","Matt Stewart",124,0.668
"21","Terese Nielsen",123,0.634
"22","Matt Thompson",111,0.627
"23","Lawrence Snelly",111,0.651
"24","Craig J Spearing",108,0.67
"25","Svetlin Velinov",104,0.628
"26","Evyn Fong",102,0.625
"27","Bastien L. Deharme",102,0.627
"28","Colin Boyer",101,0.608
"29","Filip Burburan",99,0.642
"30","Vance Kovacs",99,0.617
"31","Thomas M. Baxa",89,0.635
"32","Ben Wootten",87,0.635
"33","Mark Tedin",86,0.652
"34","Dave Allsop",85,0.649
"35","Jonas De Ro",85,0.635
"36","Greg Hildebrandt",81,0.653
"37","Kev Walker",81,0.653
"38","Mathias Kollros",78,0.64
"39","Ben Thompson",76,0.632
"40","David Gaillet",69,0.622
"41","Slawomir Maniak",68,0.595
"42","Gabor Szikszai",67,0.659
"43","Randy Gallegos",66,0.632
"44","Magali Villeneuve",66,0.672
"45","Sandra Everingham",65,0.69
"46","Justine Cruz",63,0.646
"47","Dany Orizio",62,0.674
"48","Lindsey Look",60,0.624
"49","Tia Masic",60,0.6
"50","David Martin",58,0.667
"51","Anastasia Ovchinnikova",58,0.617
"52","Eytan Zana",56,0.661
"53","YW Tang",56,0.623
"54","Allen Williams",54,0.699
"55","Joseph Meehan",53,0.629
"56","Daarken",52,0.638
"57","Mike Ploog",52,0.62
"58","Glen Angus",49,0.67
"59","Eric Peterson",48,0.681
"60","Ilse Gort",48,0.663
"61","Warren Mahy",46,0.674
"62","Tom Wänerstrand",46,0.661
"63","Mike Raabe",43,0.628
"64","Daren Bader",43,0.622
"65","Christopher Moeller",43,0.612
"66","Johannes Voss",41,0.61
"67","Ron Spears",38,0.658
"68","April Lee",36,0.704
"69","Lucas Staniec",36,0.708
"70","Jeff Miracola",36,0.708
"71","Pat Morrissey",36,0.55
"72","Lius Lasahido",35,0.701
"73","Howard Lyon",34,0.637
"74","Pete Venters",33,0.582
"75","Vincent Proce",32,0.667
"76","Massimilano Frezzato",32,0.667
"77","Paolo Parente",32,0.667
"78","Aaron Miller",30,0.685
"79","Sidharth Chaturvedi",30,0.628
"80","Martina Fackova",30,0.63
"81","Zoltan Boros",28,0.663
"82","Ron Spencer",28,0.65
"83","Val Mayerik",27,0.708
"84","Michael Sutfin",27,0.633
"85","Jaime Jones",26,0.713
"86","Aurore Folny",24,0.696
"87","Robbie Trevino",24,0.65
"88","Joe Slucher",24,0.65
"89","Nils Hamm",24,0.619
"90","Alan Rabinowitz",23,0.708
"91","Jim Nelson",23,0.645
"92","Tom Kyffin",23,0.62
"93","Jason Felix",23,0.646
"94","James Paick",23,0.623
"95","Lucas Graciano",22,0.653
"96","Fred Hooper",21,0.679
"97","Winona Nelson",20,0.644
"98","Luca Zontini",20,0.662
"99","Eric Fortune",20,0.657
"100","Bryon Wackwitz",19,0.596
"101","Raymond Swanland",19,0.63
"102","Goran Josic",18,0.73
"103","James Wong",18,0.636
"104","Izzy",18,0.636
"105","Michael Danza",18,0.606
"106","Steve Argyle",18,0.649
"107","Lie Setiawan",18,0.596
"108","Jeremy Jarvis",17,0.618
"109","Trevor Claxton",16,0.667
"110","Cristi Balanescu",15,0.656
"111","Heonhwa Choe",15,0.63
"112","Randy Vargas",15,0.562
"113","Mike Bierek",15,0.56
"114","Daniel Ljunggren",14,0.657
"115","Dave Kendall",14,0.642
"116","Joshua Hagler",14,0.6
"117","Heather Hudson",13,0.712
"118","Zack Stella",13,0.64
"119","Lars Grant-West",13,0.625
"120","E. M. Gist",13,0.63
"121","Titus Lunter",12,0.694
"122","Liam Sharp",12,0.667
"123","Dave Dorman",12,0.55
"124","Omar Rayyan",12,0.55
"125","Efrem Palacios",12,0.55
"126","Adam Paquette",11,0.688
"127","Tony Szczudlo",11,0.675
"128","Kieran Yanner",11,0.66
"129","Brad Rigney",11,0.676
"130","Steve White",10,0.667
"131","DiTerlizzi",10,0.636
"132","Volkan Baǵa",10,0.571
"133","Ryan Pancoast",9,0.632
"134","Justin Sweet",9,0.667
"135","Scott Hampton",9,0.55
"136","Bryan Talbot",8,0.615
"137","rk post",8,0.593
"138","Jodie Muir",8,0.615
"139","Wisnu Tan",7,0.679
"140","Kimonas Theodossiou",7,0.696
"141","Jeff Easley",6,0.654
"142","Wesley Burt",6,0.55
"143","Justin Hampton",6,0.55
"144","James Ryman",6,0.579
"145","Martina Pilcerova",4,0.75
"146","Miguel Mercado",4,0.655
"147","Wayne England",4,0.69
"148","Adam Rex",4,0.632
"149","Alan Pollack",4,0.615
"150","Mark Winters",4,0.714
"151","Milivoj Ćeran",4,0.714
"152","James Zapata",4,0.714
"153","Zezhou Chen",4,0.615
"154","Brian Despain",4,0.667
"155","Scott Murphy",4,0.667
"156","Denman Rooke",4,0.667
"157","Jonathan Kuo",4,0.667
"158","Cyril Van Der Haegen",4,0.667
"159","Carl Critchlow",4,0.667
"160","Mike Dringenberg",4,0.571
"161","Melissa A. Benson",4,0.571
"162","Darrell Riche",4,0.571
"163","Igor Kieryluk",4,0.5
"164","Greg Hildebrandt & Tim Hildebrandt",4,0.5
"165","Tsutomu Kawade",3,0.714
"166","Leanna Crossan",3,0.615
"167","Ekaterina Burmak",3,0.714
"168","Bram Sels",3,0.55
"169","Justyna Gil",2,0.75
"170","Johann Bodin",2,0.615
"171","David Rapoza",2,0.615
"172","Alayna Danner",2,0.571
"173","Mark A. Nelson",2,0.583
"174","Olivier Bernard",2,0.667
"175","Matt Cavotta",2,0.571
"176","Viko Menezes",2,0.5
"177","Brian Snõddy",1,0.667
"178","Jason A. Engle",1,0.667
"179","A. M. Sartor",1,0.571
"180","Iris Compiet",1,0.5
