"","SetCode","NoCopies","Winrate"
"1","ELD",1765,0.649
"2","LEA",1471,0.654
"3","ZNR",1200,0.653
"4","M20",908,0.652
"5","IKO",906,0.663
"6","KLD",721,0.631
"7","KHM",705,0.654
"8","AER",692,0.664
"9","THB",662,0.662
"10","WAR",626,0.649
"11","ICE",623,0.704
"12","KTK",616,0.65
"13","THS",581,0.654
"14","AKH",535,0.63
"15","M21",528,0.62
"16","DTK",478,0.659
"17","EMN",463,0.632
"18","STX",429,0.672
"19","M10",416,0.663
"20","GRN",403,0.664
"21","RTR",399,0.661
"22","RAV",393,0.655
"23","SOI",378,0.644
"24","M19",366,0.646
"25","LRW",359,0.676
"26","GPT",356,0.656
"27","DIS",356,0.631
"28","RNA",337,0.643
"29","DOM",331,0.625
"30","MOR",264,0.676
"31","INV",256,0.64
"32","XLN",253,0.637
"33","GTC",233,0.633
"34","FRF",229,0.641
"35","M14",218,0.659
"36","JOU",211,0.64
"37","HOU",207,0.653
"38","APC",182,0.647
"39","ALA",164,0.655
"40","BFZ",156,0.642
"41","DGM",153,0.649
"42","OGW",147,0.633
"43","PTK",137,0.673
"44","RIX",135,0.622
"45","AFR",133,0.662
"46","ISD",122,0.648
"47","TSP",106,0.679
"48","MRD",104,0.644
"49","USG",100,0.687
"50","M15",86,0.618
"51","BNG",85,0.631
"52","PLC",36,0.665
"53","ORI",35,0.603
"54","DST",30,0.625
"55","CMD",27,0.646
"56","ATQ",24,0.659
"57","STH",22,0.586
"58","ZEN",16,0.587
"59","TOR",14,0.605
"60","M13",11,0.589
"61","ROE",1,0.667
