"","CardNames","DeckCount","Winrate95Min"
"1","Fblthp, the Lost",4,66.4
"2","Omen of the Forge",4,66.4
"3","Archon of Sun's Grace",6,65.7
"4","Deputy of Detention",6,65.7
"5","Sin Collector",6,65.7
"6","Enigmatic Incarnation",6,65.7
"7","Nylea's Presence",6,65.7
"8","Callous Bloodmage",5,65.1
"9","Fires of Invention",7,65
"10","Faceless Haven",34,64.3
"11","Snow-Covered Swamp",30,64.2
"12","Knight of the Ebon Legion",35,64.2
"13","Fabled Passage",111,64.1
"14","Lithoform Blight",6,64
"15","Bloodsoaked Champion",26,64
"16","Dread Wanderer",26,64
"17","Rankle, Master of Pranks",26,64
"18","Scrapheap Scrounger",26,64
"19","Spawn of Mayhem",26,64
"20","Thoughtseize",75,64
"21","Tolsimir, Friend to Wolves",17,63.8
"22","Sunpetal Grove",35,63.8
"23","Murderous Rider",37,63.6
"24","Renegade Rallier",5,63.5
"25","Mutavault",50,63.4
"26","Omnath, Locus of Creation",27,63.3
"27","Fatal Push",95,63.2
"28","Chained to the Rocks",15,63.1
"29","Indatha Triome",23,63.1
"30","Savai Triome",23,63.1
"31","Heartless Act",52,62.9
"32","Knight of Autumn",10,62.8
"33","Swamp",82,62.8
"34","Treasure Cruise",40,62.7
"35","Ketria Triome",34,62.6
"36","Raugrin Triome",33,62.6
"37","Thing in the Ice",20,62.5
"38","Stitcher's Supplier",20,62.5
"39","Village Rites",20,62.5
"40","Oath of Kaya",15,62.4
"41","Mountain",147,62.4
"42","Expressive Iteration",38,62.2
"43","Darkbore Pathway",14,62.1
"44","Zagoth Triome",23,62.1
"45","Dreadbore",33,62.1
"46","Island",130,62.1
"47","Kolaghan's Command",39,61.8
"48","Overgrown Tomb",31,61.6
"49","Arclight Phoenix",34,61.6
"50","Lightning Axe",34,61.6
