"","SetCode","NoCopies","Winrate"
"1","LEA",25970,0.702
"2","MH2",20968,0.704
"3","MH1",20674,0.701
"4","ZEN",19100,0.702
"5","ONS",16834,0.703
"6","RAV",8668,0.703
"7","WWK",8348,0.703
"8","DIS",7370,0.706
"9","ZNR",6782,0.702
"10","KLD",6702,0.702
"11","ELD",6154,0.704
"12","FUT",6030,0.705
"13","WAR",5900,0.702
"14","NPH",5664,0.699
"15","LRW",5582,0.7
"16","GPT",5392,0.705
"17","SOM",4958,0.702
"18","THB",4938,0.699
"19","CSP",4908,0.702
"20","ICE",4886,0.7
"21","ATQ",4864,0.693
"22","ROE",4856,0.697
"23","5DN",4444,0.7
"24","TSP",4274,0.7
"25","AER",3898,0.697
"26","IKO",3530,0.705
"27","ARB",3456,0.711
"28","KTK",3360,0.696
"29","STX",3174,0.698
"30","DKA",3066,0.705
"31","EMN",2970,0.706
"32","OGW",2946,0.701
"33","AKH",2872,0.704
"34","M20",2836,0.704
"35","MRD",2764,0.702
"36","M21",2502,0.704
"37","ISD",2494,0.695
"38","CON",2462,0.696
"39","MBS",2374,0.7
"40","SHM",2280,0.699
"41","RNA",2274,0.695
"42","CHK",2042,0.691
"43","INV",2022,0.69
"44","AVR",1974,0.71
"45","XLN",1712,0.695
"46","GTC",1670,0.681
"47","DST",1632,0.699
"48","DTK",1602,0.704
"49","STH",1548,0.705
"50","RTR",1478,0.705
"51","PC2",1442,0.711
"52","JUD",1442,0.704
"53","HOU",1324,0.699
"54","BFZ",1306,0.696
"55","SOI",1228,0.7
"56","PLC",1202,0.709
"57","APC",1194,0.698
"58","M11",1128,0.704
"59","JOU",1110,0.69
"60","AFR",916,0.702
"61","FRF",892,0.689
"62","EVE",888,0.708
"63","DOM",864,0.704
"64","KHM",844,0.702
"65","DRK",828,0.696
"66","M10",820,0.708
"67","ALA",802,0.697
"68","PLS",796,0.702
"69","M12",776,0.706
"70","GRN",764,0.702
"71","MOR",506,0.705
"72","TMP",498,0.704
"73","WTH",456,0.705
"74","SOK",446,0.715
"75","MIR",410,0.714
"76","MID",382,0.689
"77","M19",358,0.7
"78","M15",316,0.707
"79","LEG",268,0.71
"80","NEM",266,0.701
"81","ULG",264,0.692
"82","ODY",260,0.722
"83","P02",260,0.709
"84","ORI",258,0.708
"85","ARN",254,0.698
"86","ALL",236,0.702
"87","CMD",224,0.688
"88","M13",222,0.674
"89","DGM",216,0.725
"90","THS",166,0.723
"91","PTK",140,0.657
"92","BNG",102,0.726
"93","M14",98,0.748
"94","TOR",40,0.691
"95","RIX",40,0.68
"96","CN2",32,0.627
"97","BOK",32,0.667
"98","SCG",24,0.702
"99","C14",22,0.684
"100","FEM",16,0.571
"101","HML",8,0.765
"102","POR",4,0.9
"103","VIS",2,0.714
