"","CardNames","NbDecks","WINRATE_95_MIN"
"1","Castle Garenbrig",1,69.2
"2","Dryad of the Ilysian Grove",1,69.2
"3","Flooded Grove",1,69.2
"4","Valakut, the Molten Pinnacle",1,69.2
"5","Zagoth Triome",1,69.2
"6","Teferi, Hero of Dominaria",16,68.6
"7","Lightning Bolt",53,68.4
"8","Flooded Strand",31,68.3
"9","Plains",63,68.2
"10","Veil of Summer",25,68.1
"11","Temple Garden",32,68.1
"12","Forest",43,68.1
"13","Path to Exile",53,67.9
"14","Marsh Flats",17,67.8
"15","Breeding Pool",24,67.6
"16","Growth Spiral",17,67.5
"17","Raugrin Triome",17,67.5
"18","Uro, Titan of Nature's Wrath",18,67.5
"19","Lurrus of the Dream-Den",24,67.5
"20","Hallowed Fountain",28,67.5
"21","Snow-Covered Forest",16,67.4
"22","Kroxa, Titan of Death's Hunger",14,67.3
"23","Jace, the Mind Sculptor",14,67.3
"24","Windswept Heath",25,67.3
"25","Island",44,67.3
"26","Celestial Purge",19,67.1
"27","Sunbaked Canyon",19,67.1
"28","Mystic Sanctuary",22,66.9
"29","Boil",19,66.8
"30","Fatal Push",23,66.8
"31","Thoughtseize",28,66.8
"32","Force of Negation",34,66.7
"33","Hour of Promise",13,66.6
"34","Monastery Swiftspear",20,66.6
"35","Engineered Explosives",26,66.6
"36","Cavern of Souls",21,66.5
"37","Ashiok, Dream Render",17,66.4
"38","Dismember",17,66.4
"39","Field of the Dead",16,66.3
"40","Misty Rainforest",33,66.3
"41","Bloodstained Mire",19,66.2
"42","Snow-Covered Plains",20,66.1
"43","Teferi, Time Raveler",24,66.1
"44","Aether Vial",24,66
"45","Snow-Covered Island",25,66
"46","Omnath, Locus of Creation",15,65.9
"47","Inquisition of Kozilek",17,65.9
"48","Cryptic Command",22,65.9
"49","Gaea's Blessing",10,65.8
"50","Swamp",19,65.8
