"","CardNames","NbDecks","WINRATE_AVERAGE"
"1","Castle Garenbrig",1,100
"2","Dryad of the Ilysian Grove",1,100
"3","Flooded Grove",1,100
"4","Valakut, the Molten Pinnacle",1,100
"5","Zagoth Triome",1,100
"6","Maelstrom Pulse",1,100
"7","Life from the Loam",2,82.4
"8","Snow-Covered Swamp",2,82.4
"9","Night's Whisper",4,80.6
"10","Ephemerate",1,80
"11","Indatha Triome",1,80
"12","Kaya, Orzhov Usurper",1,80
"13","Knight of the White Orchid",1,80
"14","Wall of Omens",1,80
"15","Wasteland Strangler",1,80
"16","Agadeem's Awakening",1,80
"17","Balustrade Spy",1,80
"18","Emeria's Call",1,80
"19","Goblin Charbelcher",1,80
"20","Hagra Mauling",1,80
"21","Memory's Journey",1,80
"22","Natural State",1,80
"23","Nature's Claim",1,80
"24","Nexus of Fate",1,80
"25","Pelakka Predation",1,80
"26","Phantasmagorian",1,80
"27","Salvage Titan",1,80
"28","Shatterskull Smashing",1,80
"29","Talisman of Resilience",1,80
"30","Turntimber Symbiosis",1,80
"31","Undercity Informer",1,80
"32","Vengevine",1,80
"33","Eternal Witness",2,78.9
"34","Primeval Titan",4,78.6
"35","Angrath's Rampage",3,78.3
"36","Nurturing Peatland",6,77.8
"37","Burrenton Forge-Tender",5,77.8
"38","Goblin Guide",4,77.8
"39","Isolate",3,77.8
"40","Boros Charm",3,77.8
"41","Deflecting Palm",3,77.8
"42","Eidolon of the Great Revel",3,77.8
"43","Lava Spike",3,77.8
"44","Lightning Helix",3,77.8
"45","Rift Bolt",3,77.8
"46","Roiling Vortex",3,77.8
"47","Searing Blaze",3,77.8
"48","Skewer the Critics",3,77.8
"49","Skullcrack",3,77.8
"50","Smash to Smithereens",3,77.8
