"","SetName","Winrate","Presence"
"1","M15",77.8,1.1
"2","EVE",77.6,8.1
"3","GTC",76.7,10.9
"4","ALL",75,0.5
"5","M19",74.4,19.8
"6","FRF",74.3,12.6
"7","KTK",74,29.3
"8","RAV",73.7,69.3
"9","RNA",73.6,32.9
"10","ICE",73.6,64
"11","WWK",73.6,58.4
"12","LRW",73.5,65.5
"13","IKO",73.4,86.6
"14","ONS",73.1,109
"15","DIS",73.1,80.9
"16","C14",73.1,3.1
"17","THB",73,74.1
"18","M20",73,84.9
"19","CON",72.9,89.8
"20","AVR",72.9,21.9
"21","ZNR",72.9,102.3
"22","M11",72.8,12
"23","NEM",72.7,4
"24","LEA",72.6,242.6
"25","PLS",72.6,16.2
"26","ISD",72.5,20.7
"27","WAR",72.4,61.9
"28","DGM",72.4,7
"29","HOU",72.3,25.1
"30","GPT",72.3,62.5
"31","MH1",72,179
"32","RTR",72,26.2
"33","TMP",71.9,29.5
"34","XLN",71.9,30.9
"35","BFZ",71.9,6.9
"36","USG",71.9,3.9
"37","5DN",71.8,95.5
"38","ELD",71.7,81
"39","ZEN",71.7,138.2
"40","GRN",71.7,8
"41","DKA",71.6,30.5
"42","CSP",71.5,25.4
"43","DTK",71.5,25
"44","MOR",71.4,0.8
"45","CHK",71.3,6.2
"46","SOI",71.2,18.8
"47","DST",71.1,38.4
"48","EMN",71.1,48.1
"49","OGW",71,33
"50","ALA",71,24.9
"51","DOM",70.9,30.2
"52","ROE",70.8,44.1
"53","WTH",70.7,14.9
"54","STH",70.7,23.9
"55","MBS",70.6,14.6
"56","PLC",70.6,11.5
"57","AER",70.4,32.6
"58","NPH",70.3,76
"59","FUT",70.3,62
"60","ATQ",70.3,17.9
"61","SHM",70.3,17.6
"62","ULG",70.2,3.6
"63","DRK",70.1,17.7
"64","SOK",70,16.9
"65","M10",69.9,12.4
"66","AKH",69.8,12.8
"67","SOM",69.7,49.8
"68","M12",69.7,15.9
"69","CMD",69.5,7.2
"70","KLD",69.3,32.8
"71","ODY",68.8,1.9
"72","JOU",68.7,12.3
"73","JUD",67.9,9.4
"74","INV",67.3,7.3
"75","MRD",66.9,15.8
"76","LEG",66.8,3.6
"77","TSP",66.7,25.9
"78","KHM",66.7,12.1
"79","ARB",66.3,8.1
"80","BNG",65.9,4.9
"81","M21",65.8,22.8
"82","THS",65.6,7.2
"83","M14",64.2,1.6
"84","ARN",61.9,5.1
"85","M13",61.9,2.5
"86","P02",57.1,1.7
"87","ORI",57.1,0.8
