"","CardNames","NbDecks","WINRATE_AVERAGE"
"1","Plains",63,72.4
"2","Path to Exile",53,72.5
"3","Lightning Bolt",53,73.1
"4","Island",44,72.4
"5","Forest",43,73.2
"6","Mountain",36,71.4
"7","Aether Gust",34,71.4
"8","Force of Negation",34,72.6
"9","Auriok Champion",34,70.9
"10","Misty Rainforest",33,72.2
"11","Temple Garden",32,73.9
"12","Flooded Strand",31,74.1
"13","Steam Vents",31,71.4
"14","Skyclave Apparition",29,71
"15","Scalding Tarn",29,71.6
"16","Hallowed Fountain",28,73.8
"17","Thoughtseize",28,73.2
"18","Mystical Dispute",27,71.7
"19","Engineered Explosives",26,73.2
"20","Snow-Covered Island",25,72.7
"21","Veil of Summer",25,74.7
"22","Windswept Heath",25,73.9
"23","Breeding Pool",24,74.4
"24","Teferi, Time Raveler",24,73
"25","Aether Vial",24,73
"26","Lurrus of the Dream-Den",24,74.2
"27","Mishra's Bauble",24,72.6
"28","Horizon Canopy",24,71
"29","Stomping Ground",24,72.5
"30","Wooded Foothills",24,70.3
"31","Fatal Push",23,73.9
"32","Cryptic Command",22,73.1
"33","Mystic Sanctuary",22,74
"34","Soul-Guide Lantern",22,72.5
"35","Wrenn and Six",22,73.1
"36","Cavern of Souls",21,73.9
"37","Snow-Covered Plains",20,73.7
"38","Monastery Swiftspear",20,74.2
"39","Celestial Purge",19,74.8
"40","Bloodstained Mire",19,74
"41","Boil",19,74.7
"42","Swamp",19,73.6
"43","Field of Ruin",19,71.7
"44","Sunbaked Canyon",19,74.8
"45","Mana Leak",18,73.4
"46","Uro, Titan of Nature's Wrath",18,75.3
"47","Arid Mesa",18,70.8
"48","Rest in Peace",18,71.7
"49","Fiery Islet",18,69.6
"50","Ashiok, Dream Render",17,74.6
