"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"361","Brittney Davis",3,32,0.28125,0.137456903295502,0.467471099642935,27,"Footfalls","3","https://mtgmelee.com/Decklist/View/268079; https://mtgmelee.com/Decklist/View/277000; https://mtgmelee.com/Decklist/View/278578"
"362","Katharine Normandin",2,23,0.391304347826087,0.197076423969014,0.61458104261115,27,"Hammer Time","2","https://mtgmelee.com/Decklist/View/268299; https://mtgmelee.com/Decklist/View/268873"
"363","Charles Azuelos",2,23,0.391304347826087,0.197076423969014,0.61458104261115,27,"WURG Control","2","https://mtgmelee.com/Decklist/View/268116; https://mtgmelee.com/Decklist/View/268885"
"364","Kris Hall",2,23,0.391304347826087,0.197076423969014,0.61458104261115,27,"Izzet Murktide; Living End","1; 1","https://mtgmelee.com/Decklist/View/268150; https://mtgmelee.com/Decklist/View/268907"
"365","FranceElite",1,12,0.75,0.428141538121811,0.945139355472007,27,"Creativity Combo","1","https://mtgmelee.com/Decklist/View/268202"
"366","Clément Lesaege",1,12,0.75,0.428141538121811,0.945139355472007,27,"Elementals","1","https://mtgmelee.com/Decklist/View/268395"
"367","Fabrizio Campanino",1,12,0.75,0.428141538121811,0.945139355472007,27,"Hammer Time","1","https://mtgmelee.com/Decklist/View/268375"
"368","Jan V Ban",1,12,0.75,0.428141538121811,0.945139355472007,27,"Underworld Breach Combo","1","https://mtgmelee.com/Decklist/View/268471"
"369","Filip Crnjac",1,12,0.75,0.428141538121811,0.945139355472007,27,"Azorius Control","1","https://mtgmelee.com/Decklist/View/269099"
"370","Andrea Moretti",1,12,0.75,0.428141538121811,0.945139355472007,27,"Amulet Titan","1","https://mtgmelee.com/Decklist/View/267615"
"371","nudeindark",1,12,0.75,0.428141538121811,0.945139355472007,27,"Rakdos Scam","1","https://mtgmelee.com/Decklist/View/267894"
"372","Stefano Vinci",1,12,0.75,0.428141538121811,0.945139355472007,27,"Izzet Murktide","1","https://mtgmelee.com/Decklist/View/267654"
"373","Marco Menchini",1,12,0.75,0.428141538121811,0.945139355472007,27,"Living End","1","https://mtgmelee.com/Decklist/View/267909"
"374","Stefano Gerardis",1,12,0.75,0.428141538121811,0.945139355472007,27,"Underworld Breach Combo","1","https://mtgmelee.com/Decklist/View/268429"
"375","Dario Casati",1,12,0.75,0.428141538121811,0.945139355472007,27,"Merfolk","1","https://mtgmelee.com/Decklist/View/269098"
"376","Alessandro Melis",1,12,0.75,0.428141538121811,0.945139355472007,27,"Merfolk","1","https://mtgmelee.com/Decklist/View/269096"
"377","Alessandro Lippi",1,12,0.75,0.428141538121811,0.945139355472007,27,"Footfalls","1","https://mtgmelee.com/Decklist/View/267931"
"378","Pier Franchini",2,19,0.473684210526316,0.244474689466196,0.711356752083001,27,"Izzet Murktide","2","https://mtgmelee.com/Decklist/View/267664; https://mtgmelee.com/Decklist/View/268751"
"379","Michael Kundegraber",2,19,0.473684210526316,0.244474689466196,0.711356752083001,27,"Prowess","2","https://mtgmelee.com/Decklist/View/267811; https://mtgmelee.com/Decklist/View/269048"
"380","Niccolo Ciorra",2,19,0.473684210526316,0.244474689466196,0.711356752083001,27,"Footfalls","2","https://mtgmelee.com/Decklist/View/268488; https://mtgmelee.com/Decklist/View/268828"
"381","Gianluca Boaretto",2,19,0.473684210526316,0.244474689466196,0.711356752083001,27,"Elementals","2","https://mtgmelee.com/Decklist/View/267284; https://mtgmelee.com/Decklist/View/268833"
"382","LorenzoI",2,19,0.473684210526316,0.244474689466196,0.711356752083001,27,"Azorius Control; WUBG Control","1; 1","https://mtgmelee.com/Decklist/View/268030; https://mtgmelee.com/Decklist/View/269010"
"383","Maksymilian Przybylski",2,19,0.473684210526316,0.244474689466196,0.711356752083001,27,"Rakdos Scam","2","https://mtgmelee.com/Decklist/View/267372; https://mtgmelee.com/Decklist/View/269068"
"384","Kyle Wright",2,15,0.6,0.322869766206282,0.836635676140487,27,"Creativity Combo","2","https://mtgmelee.com/Decklist/View/271016; https://mtgmelee.com/Decklist/View/271564"
"385","Avery Broda",2,15,0.6,0.322869766206282,0.836635676140487,27,"Green Tron","2","https://mtgmelee.com/Decklist/View/270138; https://mtgmelee.com/Decklist/View/271531"
"386","James Holliday",2,15,0.6,0.322869766206282,0.836635676140487,27,"Mill; Infect","1; 1","https://mtgmelee.com/Decklist/View/270956; https://mtgmelee.com/Decklist/View/271502"
"387","AJ Cozzo",2,16,0.5625,0.298776899083177,0.802465859467332,27,"Izzet Murktide","2","https://mtgmelee.com/Decklist/View/270994; https://mtgmelee.com/Decklist/View/271528"
"388","dylan ham",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Grixis Shadow","1","https://mtgmelee.com/Decklist/View/274201"
"389","Erick Galinkin",2,17,0.529411764705882,0.278118300331107,0.77016731273401,27,"Creativity Combo","2","https://mtgmelee.com/Decklist/View/276935; https://mtgmelee.com/Decklist/View/277944"
"390","John Farrow",3,24,0.375,0.187992928196002,0.594063615992056,27,"Jeskai Control","3","https://mtgmelee.com/Decklist/View/275133; https://mtgmelee.com/Decklist/View/275136; https://mtgmelee.com/Decklist/View/278396"
"391","David Tardif",3,24,0.375,0.187992928196002,0.594063615992056,27,"Elementals","3","https://mtgmelee.com/Decklist/View/276501; https://mtgmelee.com/Decklist/View/276500; https://mtgmelee.com/Decklist/View/278355"
"392","Jon Beckom",3,24,0.375,0.187992928196002,0.594063615992056,27,"Blue Scapeshift; Bant Control","2; 1","https://mtgmelee.com/Decklist/View/277167; https://mtgmelee.com/Decklist/View/278103; https://mtgmelee.com/Decklist/View/278606"
"393","wesleyjhere",3,24,0.375,0.187992928196002,0.594063615992056,27,"Amulet Titan; Footfalls","2; 1","https://mtgmelee.com/Decklist/View/276463; https://mtgmelee.com/Decklist/View/276517; https://mtgmelee.com/Decklist/View/278488"
"394","Alessandro Smith",3,23,0.391304347826087,0.197076423969014,0.61458104261115,27,"Underworld Breach Combo","3","https://mtgmelee.com/Decklist/View/276746; https://mtgmelee.com/Decklist/View/277249; https://mtgmelee.com/Decklist/View/278003"
"395","Benjamin Harrison",4,30,0.3,0.147345184754701,0.493959041462554,27,"Bant Control","4","https://mtgmelee.com/Decklist/View/276770; https://mtgmelee.com/Decklist/View/277247; https://mtgmelee.com/Decklist/View/277694; https://mtgmelee.com/Decklist/View/278422"
"396","Leonard Routh",3,24,0.375,0.187992928196002,0.594063615992056,27,"Amulet Titan","3","https://mtgmelee.com/Decklist/View/277099; https://mtgmelee.com/Decklist/View/277573; https://mtgmelee.com/Decklist/View/278404"
"397","Robin Gonzalez",3,24,0.375,0.187992928196002,0.594063615992056,27,"Rakdos Scam","3","https://mtgmelee.com/Decklist/View/277290; https://mtgmelee.com/Decklist/View/275758; https://mtgmelee.com/Decklist/View/278339"
"398","William Keel",3,24,0.375,0.187992928196002,0.594063615992056,27,"Living End","3","https://mtgmelee.com/Decklist/View/277264; https://mtgmelee.com/Decklist/View/277929; https://mtgmelee.com/Decklist/View/278572"
"399","David Vo",3,24,0.375,0.187992928196002,0.594063615992056,27,"Conflict(Elementals,Omnath Saheeli); Azorius Midrange","2; 1","https://mtgmelee.com/Decklist/View/276697; https://mtgmelee.com/Decklist/View/277942; https://mtgmelee.com/Decklist/View/278435"
"400","Brad Nelson",3,24,0.375,0.187992928196002,0.594063615992056,27,"Rakdos Scam","3","https://mtgmelee.com/Decklist/View/276562; https://mtgmelee.com/Decklist/View/276560; https://mtgmelee.com/Decklist/View/278368"
"401","JD Umberson",2,17,0.529411764705882,0.278118300331107,0.77016731273401,27,"Domain Zoo","2","https://mtgmelee.com/Decklist/View/277242; https://mtgmelee.com/Decklist/View/278021"
"402","Takenori Tobisawa",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Creativity Combo","1","https://mtgmelee.com/Decklist/View/275481"
"403","Hiroaki Fukumoto",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Rakdos Scam","1","https://mtgmelee.com/Decklist/View/275998"
"404","atsushi nakano",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Jund Saga","1","https://mtgmelee.com/Decklist/View/275788"
"405","Duncan McAdams",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Hardened Scales","1","https://mtgmelee.com/Decklist/View/277783"
"406","John Johns",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Creativity Combo","1","https://mtgmelee.com/Decklist/View/277587"
"407","David Frischer",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Izzet Murktide","1","https://mtgmelee.com/Decklist/View/277502"
"408","Ricky Martindale",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Creativity Combo","1","https://mtgmelee.com/Decklist/View/277703"
"409","Eli Schmidt",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Jeskai Midrange","1","https://mtgmelee.com/Decklist/View/277396"
"410","B1GR4T",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Gruul Midrange","1","https://mtgmelee.com/Decklist/View/276558"
"411","ross rinaldo",1,11,0.818181818181818,0.482244147639827,0.97716880170004,27,"Living End","1","https://mtgmelee.com/Decklist/View/277572"
"412","Benjamin Chatham",2,18,0.5,0.260190582895097,0.739809417104903,27,"Rakdos Scam","2","https://mtgmelee.com/Decklist/View/276701; https://mtgmelee.com/Decklist/View/278625"
"413","Brent Miles-Wagner",2,18,0.5,0.260190582895097,0.739809417104903,27,"Hammer Time","2","https://mtgmelee.com/Decklist/View/276976; https://mtgmelee.com/Decklist/View/278536"
"414","Matthew Dillon",2,18,0.5,0.260190582895097,0.739809417104903,27,"Izzet Murktide","2","https://mtgmelee.com/Decklist/View/277343; https://mtgmelee.com/Decklist/View/278348"
"415","Joseph Laws",2,18,0.5,0.260190582895097,0.739809417104903,27,"Prowess","2","https://mtgmelee.com/Decklist/View/277311; https://mtgmelee.com/Decklist/View/278558"
"416","Sprouts",1,10,0.8,0.443904537692359,0.974789273673167,24,"Rakdos Scam","1","https://www.manatraders.com/webshop/personal/905733"
"417","Chub_Toad_",1,10,0.8,0.443904537692359,0.974789273673167,24,"Domain Zoo","1","https://www.manatraders.com/webshop/personal/905448"
"418","xDarthPanda",2,17,0.470588235294118,0.22983268726599,0.721881699668893,24,"Burn; Izzet Murktide","1; 1","https://www.manatraders.com/webshop/personal/905658; https://www.manatraders.com/webshop/personal/942167"
"419","Yorsh",2,17,0.470588235294118,0.22983268726599,0.721881699668893,24,"Living End; Prowess","1; 1","https://www.manatraders.com/webshop/personal/905888; https://www.manatraders.com/webshop/personal/942521"
"420","graciasportanto",2,17,0.470588235294118,0.22983268726599,0.721881699668893,24,"Izzet Murktide","2","https://www.manatraders.com/webshop/personal/905419; https://www.manatraders.com/webshop/personal/942222"
"421","msskinbolic",1,11,0.727272727272727,0.390257440427579,0.939782265827093,24,"Rakdos Scam","1","https://www.manatraders.com/webshop/personal/942159"
"422","kasa",1,10,0.8,0.443904537692359,0.974789273673167,24,"Creativity Combo","1","https://www.manatraders.com/webshop/personal/942478"
"423","Ivan Espinosa",2,14,0.571428571428571,0.288609400038307,0.823388910017882,24,"Bant Control; Elementals","1; 1","https://mtgmelee.com/Decklist/View/250870; https://mtgmelee.com/Decklist/View/251003"
"424","James McCoury",3,22,0.363636363636364,0.171979437646332,0.593423331174353,24,"Blue Scapeshift; Amulet Titan; Omnath Scapeshift","1; 1; 1","https://mtgmelee.com/Decklist/View/250647; https://mtgmelee.com/Decklist/View/250992; https://mtgmelee.com/Decklist/View/262131"
