"","SetCode","NoCopies","Winrate"
"1","LEA",27082,0.624
"2","ICE",16055,0.628
"3","MRD",11051,0.615
"4","ROE",6625,0.627
"5","TSP",5630,0.625
"6","MH1",5609,0.633
"7","LRW",5529,0.63
"8","MH2",5344,0.609
"9","DST",4203,0.621
"10","ATQ",4177,0.635
"11","WWK",3833,0.625
"12","MMQ",3552,0.628
"13","M11",3433,0.632
"14","DOM",3427,0.628
"15","USG",3191,0.626
"16","KHM",2968,0.627
"17","VIS",2925,0.617
"18","BOK",2607,0.639
"19","M13",2578,0.634
"20","DKA",2576,0.631
"21","SOM",2547,0.614
"22","CMR",2510,0.623
"23","C16",2383,0.631
"24","TOR",2315,0.627
"25","JUD",2245,0.626
"26","MBS",2000,0.622
"27","IKO",1981,0.629
"28","STX",1937,0.622
"29","SHM",1906,0.614
"30","INV",1874,0.626
"31","XLN",1813,0.626
"32","NPH",1809,0.615
"33","ONS",1803,0.61
"34","CSP",1763,0.623
"35","KTK",1658,0.644
"36","CN2",1590,0.624
"37","ISD",1587,0.62
"38","C20",1579,0.631
"39","ZEN",1542,0.617
"40","ULG",1497,0.628
"41","FRF",1374,0.628
"42","ALA",1332,0.631
"43","RTR",1307,0.622
"44","GPT",1306,0.608
"45","RAV",1285,0.634
"46","DIS",1184,0.629
"47","ZNR",1115,0.617
"48","JMP",1096,0.634
"49","TMP",1095,0.626
"50","5DN",1021,0.624
"51","ELD",971,0.613
"52","SCG",962,0.625
"53","RNA",959,0.608
"54","ODY",956,0.639
"55","SOI",925,0.625
"56","HOU",903,0.63
"57","MOR",894,0.627
"58","ALL",848,0.634
"59","M12",840,0.639
"60","EVE",787,0.622
"61","CHK",785,0.609
"62","M10",768,0.617
"63","AVR",762,0.64
"64","STH",750,0.616
"65","M21",723,0.603
"66","LEG",685,0.601
"67","AKH",680,0.602
"68","PLC",676,0.604
"69","GTC",669,0.632
"70","KLD",612,0.601
"71","EMN",599,0.597
"72","OGW",595,0.636
"73","LGN",588,0.604
"74","DRK",546,0.593
"75","AFR",539,0.609
"76","THB",390,0.601
"77","CON",381,0.611
"78","FUT",373,0.618
"79","APC",364,0.614
"80","ORI",302,0.634
"81","THS",259,0.577
"82","M15",251,0.616
"83","M14",251,0.613
"84","MIR",197,0.615
"85","NEM",176,0.612
"86","ARB",159,0.599
"87","JOU",157,0.578
"88","HML",153,0.597
"89","BFZ",150,0.624
"90","BNG",133,0.589
"91","P02",130,0.624
"92","ARN",119,0.576
"93","PLS",115,0.603
"94","WAR",114,0.623
"95","RIX",92,0.605
"96","SOK",90,0.63
"97","DTK",86,0.611
"98","MID",74,0.614
"99","EXO",66,0.563
"100","PCY",57,0.628
"101","CNS",47,0.596
"102","WTH",47,0.576
"103","GRN",43,0.579
"104","FEM",39,0.592
"105","M19",32,0.593
"106","M20",24,0.627
"107","AER",22,0.563
"108","UDS",15,0.525
"109","DGM",4,0.5
