"","CardNames","DeckCount","Winrate95Min"
"1","Klothys, God of Destiny",51,78.4
"2","Binding the Old Gods",58,78.2
"3","Damping Sphere",86,77.8
"4","Fatal Push",181,77.4
"5","Soul-Guide Lantern",117,76.7
"6","Thoughtseize",161,76.7
"7","Mystical Dispute",362,76.7
"8","Magma Spray",98,76.4
"9","Aether Gust",235,76.4
"10","Rest in Peace",106,76.3
"11","Lurrus of the Dream-Den",167,76.3
"12","Abrade",82,76
"13","Noxious Grasp",47,75.9
"14","Jegantha, the Wellspring",82,75.9
"15","Duress",82,75.9
"16","Notion Thief",100,75.7
"17","Grafdigger's Cage",122,75.7
"18","Agonizing Remorse",20,75.6
"19","Scorching Dragonfire",25,75.6
"20","Negate",106,75.6
"21","Yorion, Sky Nomad",59,75.5
"22","Anger of the Gods",147,75.5
"23","Bolas's Citadel",19,75
"24","Legion's End",92,75
"25","Roiling Vortex",88,75
"26","Korvold, Fae-Cursed King",53,74.8
"27","Narset, Parter of Veils",72,74.8
"28","Collective Brutality",30,74.7
"29","Necromentia",24,74.6
"30","Kalitas, Traitor of Ghet",80,74.6
"31","Alpine Moon",47,74.3
"32","Reclamation Sage",53,74.3
"33","Scavenging Ooze",33,74.2
"34","Light of Hope",59,74.2
"35","Disdainful Stroke",77,74.2
"36","Apostle of Purifying Light",53,74.1
"37","Searing Blood",76,74
"38","Dovin's Veto",86,73.9
"39","Angrath's Rampage",15,73.4
"40","Pithing Needle",22,73.4
"41","Self-Inflicted Wound",37,73.4
"42","Rending Volley",38,73.4
"43","Extinction Event",25,73.3
"44","Koma, Cosmos Serpent",34,73.3
"45","Go Blank",74,73.3
"46","Ratchet Bomb",6,73
"47","Ulamog, the Ceaseless Hunger",28,73
"48","Aethersphere Harvester",34,73
"49","Declaration in Stone",17,72.9
"50","Tormod's Crypt",27,72.9
