"","Artist","NoCopies","Winrate"
"1","Rob Alexander",3714,0.799
"2","Eric Deschamps",1830,0.802
"3","Jonas De Ro",1729,0.796
"4","Douglas Shuler",1513,0.801
"5","Adam Paquette",1469,0.799
"6","Magali Villeneuve",1372,0.795
"7","Howard Lyon",1220,0.797
"8","Aleksi Briclot",1183,0.803
"9","Svetlin Velinov",1101,0.79
"10","Mark Poole",1050,0.791
"11","Christopher Rush",1029,0.801
"12","Ekaterina Burmak",1026,0.789
"13","Johannes Voss",885,0.791
"14","Dan Frazier",858,0.8
"15","Daarken",858,0.791
"16","Daniel Ljunggren",850,0.795
"17","Steve Argyle",822,0.798
"18","Tomasz Jedruszek",803,0.796
"19","Kieran Yanner",764,0.797
"20","Victor Adame Minguez",762,0.818
"21","Slawomir Maniak",758,0.796
"22","Wesley Burt",751,0.805
"23","Raymond Swanland",743,0.79
"24","Dmitry Burmak",729,0.81
"25","Sam Burley",729,0.792
"26","Franz Vohwinkel",721,0.791
"27","John Avon",714,0.795
"28","Chris Rahn",709,0.797
"29","Noah Bradley",701,0.791
"30","Titus Lunter",655,0.801
"31","Aaron Miller",655,0.787
"32","Jason Rainville",654,0.797
"33","Jesper Ejsing",654,0.793
"34","Ryan Pancoast",635,0.795
"35","Chase Stone",629,0.786
"36","Cynthia Sheppard",605,0.794
"37","John Howe",573,0.791
"38","Izzy",556,0.786
"39","Anson Maddocks",554,0.806
"40","Zoltan Boros",543,0.794
"41","Wisnu Tan",529,0.817
"42","Anastasia Ovchinnikova",505,0.789
"43","Ravenna Tran",492,0.815
"44","Jesper Myrfors",492,0.791
"45","Caio Monteiro",480,0.792
"46","Cliff Childs",473,0.805
"47","Vincent Proce",465,0.8
"48","Ryan Yee",453,0.785
"49","John Stanko",443,0.793
"50","Dan Scott",441,0.794
"51","Wayne Reynolds",425,0.793
"52","Seb McKinnon",422,0.799
"53","Cyril Van Der Haegen",422,0.789
"54","Chris Rallis",420,0.789
"55","Andreas Rocha",418,0.817
"56","Josh Hass",418,0.802
"57","G-host Lee",416,0.79
"58","Lius Lasahido",390,0.796
"59","Grzegorz Rutkowski",377,0.794
"60","Mathias Kollros",372,0.805
"61","Campbell White",369,0.795
"62","Piotr Dura",344,0.812
"63","James Ryman",338,0.787
"64","Winona Nelson",336,0.811
"65","Craig J Spearing",327,0.801
"66","Christine Choi",326,0.792
"67","Darrell Riche",321,0.802
"68","Karl Kopinski",308,0.809
"69","Dave Kendall",305,0.798
"70","Jung Park",304,0.803
"71","Volkan Baǵa",303,0.775
"72","Chris Seaman",297,0.797
"73","Zezhou Chen",296,0.794
"74","Zack Stella",295,0.791
"75","Fred Fields",290,0.799
"76","Yongjae Choi",290,0.793
