"","SetCode","NoCopies","Winrate"
"1","ELD",5457,0.8
"2","LEA",4852,0.798
"3","ZNR",3379,0.799
"4","IKO",3129,0.795
"5","WAR",2634,0.798
"6","M20",2410,0.794
"7","THB",2264,0.803
"8","KHM",2233,0.808
"9","THS",2092,0.793
"10","AER",1802,0.8
"11","KLD",1767,0.798
"12","KTK",1663,0.788
"13","RAV",1622,0.801
"14","AKH",1451,0.794
"15","GRN",1269,0.801
"16","GPT",1240,0.798
"17","RTR",1240,0.794
"18","M10",1158,0.792
"19","SOI",1149,0.791
"20","M21",1117,0.784
"21","STX",1116,0.791
"22","RNA",1093,0.8
"23","LRW",1090,0.804
"24","DOM",1069,0.791
"25","AFR",921,0.791
"26","DIS",916,0.798
"27","MID",881,0.792
"28","DTK",848,0.796
"29","BFZ",780,0.799
"30","M19",734,0.791
"31","GTC",714,0.796
"32","EMN",687,0.797
"33","APC",678,0.795
"34","XLN",652,0.796
"35","INV",627,0.789
"36","M14",602,0.812
"37","FRF",591,0.787
"38","MOR",552,0.801
"39","ICE",538,0.788
"40","JOU",537,0.789
"41","DGM",498,0.791
"42","ISD",466,0.8
"43","HOU",465,0.808
"44","OGW",426,0.798
"45","RIX",389,0.796
"46","BNG",350,0.789
"47","PTK",275,0.794
"48","TSP",273,0.796
"49","VOW",271,0.764
"50","ALA",254,0.806
"51","DKA",252,0.793
"52","USG",240,0.805
"53","M15",232,0.795
"54","MRD",207,0.79
"55","ORI",193,0.792
"56","CMD",113,0.808
"57","M11",98,0.772
"58","PLC",97,0.811
"59","ZEN",86,0.793
"60","DST",84,0.794
"61","ATQ",60,0.762
"62","STH",50,0.778
"63","ROE",37,0.781
"64","DRK",34,0.812
"65","M13",24,0.771
"66","TOR",9,0.75
"67","WWK",8,0.85
"68","ONS",8,0.75
"69","SCG",5,0.75
"70","FUT",4,0.875
"71","ODY",2,0.75
