"","SetCode","NoCopies","Winrate"
"1","LEA",4337,0.631
"2","MRD",2059,0.638
"3","ICE",1505,0.64
"4","SOM",1234,0.632
"5","VOW",1110,0.63
"6","MH2",1084,0.637
"7","CLB",1006,0.626
"8","NEO",941,0.636
"9","ZEN",708,0.624
"10","DMU",694,0.621
"11","TOR",612,0.642
"12","AFR",576,0.637
"13","IKO",540,0.638
"14","JUD",539,0.627
"15","ALL",497,0.646
"16","BRO",463,0.632
"17","MBS",449,0.636
"18","TSP",431,0.641
"19","KTK",369,0.628
"20","ALA",365,0.623
"21","VIS",362,0.62
"22","RTR",346,0.623
"23","MH1",342,0.648
"24","MMQ",339,0.626
"25","AER",327,0.641
"26","LEG",324,0.632
"27","DKA",320,0.619
"28","ATQ",304,0.648
"29","AKH",299,0.613
"30","M11",296,0.643
"31","KHM",292,0.64
"32","FRF",280,0.637
"33","INV",261,0.629
"34","DIS",244,0.631
"35","LRW",229,0.638
"36","ROE",227,0.62
"37","SHM",222,0.632
"38","AVR",217,0.616
"39","XLN",180,0.643
"40","WWK",176,0.646
"41","ULG",174,0.624
"42","M12",173,0.636
"43","C16",167,0.633
"44","EVE",155,0.614
"45","SOI",154,0.643
"46","SNC",150,0.638
"47","MID",128,0.615
"48","GPT",126,0.623
"49","MOR",121,0.63
"50","DOM",120,0.654
"51","ZNR",108,0.624
"52","ODY",103,0.64
"53","RNA",93,0.603
"54","RAV",92,0.642
"55","USG",88,0.636
"56","TMP",81,0.654
"57","APC",81,0.619
"58","M13",79,0.639
"59","ONS",74,0.593
"60","M10",65,0.603
"61","GTC",62,0.668
"62","CSP",58,0.64
"63","OGW",56,0.634
"64","DGM",56,0.579
"65","NPH",56,0.615
"66","BOK",49,0.657
"67","M21",44,0.657
"68","JMP",41,0.667
"69","THB",39,0.63
"70","SCG",39,0.599
"71","ISD",39,0.63
"72","CHK",37,0.596
"73","NEM",32,0.692
"74","ARB",25,0.646
"75","CMR",22,0.67
"76","M19",21,0.66
"77","LGN",21,0.603
"78","FUT",21,0.667
"79","STX",20,0.663
"80","CN2",17,0.611
"81","ARN",16,0.7
"82","WAR",16,0.646
"83","MIR",16,0.646
"84","ELD",15,0.645
"85","M14",14,0.556
"86","ORI",12,0.579
"87","5DN",12,0.556
"88","HOU",11,0.564
"89","DST",11,0.562
"90","M15",10,0.5
"91","SOK",9,0.597
"92","BFZ",9,0.597
"93","KLD",9,0.6
"94","JOU",8,0.632
"95","EMN",8,0.615
"96","PLS",5,0.548
"97","FEM",5,0.538
"98","BNG",4,0.5
"99","STH",3,0.55
"100","WTH",1,0.7
"101","CNS",1,0.571
