"","CardNames","DeckCount","WinrateAverage"
"1","Shock",2,100
"2","Isolate",1,100
"3","Jeskai Ascendancy",1,100
"4","Silence",1,100
"5","Expansion // Explosion",1,100
"6","Expressive Iteration",1,100
"7","Failure // Comply",1,100
"8","Fiery Justice",1,100
"9","Flesh // Blood",1,100
"10","Worship",1,100
"11","Liliana's Triumph",1,100
"12","Cinderclasm",1,100
"13","Crash Through",1,100
"14","Stubborn Denial",2,87.5
"15","Disdainful Stroke",2,87.5
"16","Threads of Disloyalty",2,87.5
"17","Leonin Relic-Warder",2,85
"18","Batterskull",4,82.4
"19","Sigarda, Host of Herons",2,82.4
"20","Mazemind Tome",2,82.4
"21","Pyrite Spellbomb",3,80
"22","Ethersworn Canonist",1,80
"23","Remorseful Cleric",1,80
"24","Shadowspear",1,80
"25","Jegantha, the Wellspring",7,79.4
"26","Leyline of Vitality",2,78.9
"27","Primal Command",1,77.8
"28","Ramunap Excavator",1,77.8
"29","Lightning Bolt",1,77.8
"30","Mystic Repeal",6,77.3
"31","Pillage",9,76.9
"32","Obosh, the Preypiercer",9,76.9
"33","Fracture",2,76.9
"34","Deafening Silence",8,76.8
"35","Wrenn and Six",5,76.5
"36","Aven Mindcensor",2,76.5
"37","Flame Slash",11,76.3
"38","Elixir of Immortality",6,76.3
"39","Dragon's Claw",14,76.2
"40","Elder Gargaroth",4,76
"41","Arboreal Grazer",5,75.7
"42","Negate",5,75.7
"43","Rampaging Ferocidon",11,75.6
"44","Giant Killer",6,75.6
"45","Unearth",5,75
"46","Fiend Hunter",5,75
"47","Entrancing Melody",3,75
"48","Field of Ruin",2,75
"49","Mana Leak",2,75
"50","Filigree Familiar",2,75
