"","CardNames","DeckCount","Winrate95Min"
"1","Mountain",127,70.4
"2","Windswept Heath",83,70.3
"3","Lightning Bolt",133,69.8
"4","Breeding Pool",44,69.4
"5","Steam Vents",81,69.4
"6","Wooded Foothills",136,69.4
"7","Temple Garden",65,69.2
"8","Misty Rainforest",64,69.1
"9","Stomping Ground",68,69.1
"10","Plains",80,69.1
"11","Wrenn and Six",34,69
"12","Soul-Scar Mage",53,68.6
"13","Monastery Swiftspear",62,68.4
"14","Forest",107,68.4
"15","Bonecrusher Giant",20,68.3
"16","Scalding Tarn",53,68.3
"17","Island",64,68.3
"18","Utopia Sprawl",46,68.2
"19","Mishra's Bauble",56,68.2
"20","Lava Dart",54,68.2
"21","Omnath, Locus of Creation",24,68.1
"22","Seasoned Pyromancer",22,68.1
"23","Teferi, Time Raveler",37,68.1
"24","Sacred Foundry",70,68.1
"25","Blood Moon",20,67.9
"26","Arid Mesa",53,67.9
"27","Raugrin Triome",33,67.7
"28","Ketria Triome",31,67.7
"29","Mutagenic Growth",41,67.7
"30","Bloodstained Mire",81,67.5
"31","Sprite Dragon",32,67.4
"32","Prismatic Vista",31,67.3
"33","Spirebluff Canal",39,67.3
"34","Verdant Catacombs",63,67.2
"35","Manamorphose",46,67.1
"36","Arbor Elf",39,67
"37","Unearth",14,66.8
"38","Valakut, the Molten Pinnacle",31,66.7
"39","Path to Exile",36,66.7
"40","Stormwing Entity",26,66.6
"41","Skyclave Apparition",39,66.6
"42","Light Up the Stage",32,66.5
"43","Dryad of the Ilysian Grove",29,66.4
"44","Fiery Islet",34,66.3
"45","Bojuka Bog",20,66.1
"46","Valki, God of Lies",23,66.1
"47","Bring to Light",23,66.1
"48","Giver of Runes",13,65.9
"49","Stoneforge Mystic",14,65.8
"50","Blood Crypt",42,65.8
