"","CardNames","DeckCount","WinrateAverage"
"1","Veil of Summer",87,71.9
"2","Path to Exile",73,72.3
"3","Relic of Progenitus",67,71.5
"4","Aether Gust",58,72.2
"5","Lurrus of the Dream-Den",57,71.9
"6","Tormod's Crypt",54,72.2
"7","Damping Sphere",51,71
"8","Kozilek's Return",49,74
"9","Cleansing Wildfire",42,73.5
"10","Engineered Explosives",42,73.7
"11","Soul-Guide Lantern",41,74.3
"12","Pithing Needle",40,73.2
"13","Abrade",38,73.2
"14","Mystical Dispute",38,70.5
"15","Liquimetal Coating",37,71.4
"16","Ensnaring Bridge",36,70.8
"17","Auriok Champion",36,72.6
"18","Grafdigger's Cage",34,69.1
"19","Wurmcoil Engine",31,71.7
"20","Spell Pierce",31,74.7
"21","Deicide",29,72.7
"22","Burrenton Forge-Tender",28,73.5
"23","Thoughtseize",27,73.1
"24","Walking Ballista",26,69
"25","Kor Firewalker",26,70.1
"26","Anger of the Gods",25,73.2
"27","Dispel",25,71.4
"28","Skysovereign, Consul Flagship",24,71.7
"29","Sorcerous Spyglass",23,68.4
"30","Spatial Contortion",22,69.9
"31","Sundering Titan",22,68.3
"32","Reclamation Sage",20,71.8
"33","Rip Apart",20,73.1
"34","Rest in Peace",20,71.5
"35","Bedlam Reveler",20,73.5
"36","Celestial Purge",19,72.4
"37","Ceremonious Rejection",17,74.5
"38","Kozilek, Butcher of Truth",17,67.6
"39","Surgical Extraction",17,69.9
"40","Nature's Claim",16,70
"41","Fatal Push",16,74.8
"42","Force of Negation",16,71.6
"43","Dismember",16,70.7
"44","Ashiok, Dream Render",16,71.3
"45","Force of Vigor",16,68.6
"46","Plague Engineer",15,68.6
"47","Torpor Orb",14,71.1
"48","Timely Reinforcements",14,72
"49","Assassin's Trophy",14,70.3
"50","Dragon's Claw",14,76.2
