"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Heliod Combo - Izzet Prowess - Eldrazi Tron - Boros Prowess - BTL Scapeshift - Dredge,Elves - Gruul Midrange - Obosh Aggro,Izzet Prowess - Heliod Combo - Gruul Midrange - Obosh Aggro - BTL Scapeshift - Amulet Titan,Heliod Combo - Izzet Prowess - BTL Scapeshift - Eldrazi Tron - Boros Prowess - Amulet Titan,Heliod Combo - Izzet Prowess - BTL Scapeshift - Eldrazi Tron - Boros Prowess - Amulet Titan
"Tiers 1.5",Amulet Titan - Obosh Aggro - Green Tron - Hammer Time - Gruul Midrange,Hammer Time - Grixis Control - Izzet Prowess - Niv To Light - Dimir Control - BTL Scapeshift - Polymorph - Izzet Control - Taking Turns - Amulet Titan - Heliod Combo - Dredge,Hammer Time - Boros Prowess - Dredge - Eldrazi Tron - Grinding Breach - Niv To Light - Grixis Control,Dredge - Obosh Aggro - Gruul Midrange - Hammer Time,Dredge - Obosh Aggro - Gruul Midrange - Hammer Time
"Tiers 2",Burn - Grinding Breach - Esper Control - WBRG Shadow - Niv To Light - Jund Midrange - Izzet Control - Grixis Control - Dimir Control - Taking Turns - Jund Shadow - Humans - Jeskai Control,Grinding Breach - Sultai Control - Boros Prowess - Eldrazi Tron - Jund Shadow - Esper Control - Burn - Jund Midrange,Elves - Izzet Control - Dimir Control - Green Tron - Burn - Taking Turns - Esper Control - Polymorph - Jund Midrange - Jund Shadow - Sultai Control,Green Tron - Grinding Breach - Niv To Light - Grixis Control - Burn - Izzet Control - Dimir Control - Elves - Esper Control - Taking Turns - Jund Midrange - Jund Shadow - Polymorph - Sultai Control,Green Tron - Grinding Breach - Niv To Light - Grixis Control - Burn - Izzet Control - Dimir Control - Elves - Esper Control - Taking Turns - Jund Midrange - Jund Shadow - Polymorph - Sultai Control
"Tiers 2.5",Yawgmoth - Sultai Control - Elves - Polymorph,Green Tron - Jeskai Control - Humans - Yawgmoth - WBRG Shadow,WBRG Shadow - Jeskai Control - Humans - Yawgmoth,WBRG Shadow - Jeskai Control - Humans - Yawgmoth,WBRG Shadow - Jeskai Control - Humans - Yawgmoth
