"","CardNames","DeckCount","Winrate95Min"
"1","Kozilek's Return",49,68.7
"2","Soul-Guide Lantern",41,68.5
"3","Path to Exile",73,68
"4","Spell Pierce",31,67.9
"5","Engineered Explosives",42,67.9
"6","Veil of Summer",87,67.9
"7","Cleansing Wildfire",42,67.7
"8","Pithing Needle",40,67.4
"9","Aether Gust",58,67.2
"10","Tormod's Crypt",54,67.1
"11","Lurrus of the Dream-Den",57,67.1
"12","Abrade",38,67
"13","Relic of Progenitus",67,67
"14","Burrenton Forge-Tender",28,66.4
"15","Auriok Champion",36,66.3
"16","Thoughtseize",27,66
"17","Damping Sphere",51,65.8
"18","Anger of the Gods",25,65.7
"19","Deicide",29,65.6
"20","Batterskull",4,65.5
"21","Dragon's Claw",14,65.4
"22","Flame Slash",11,65.2
"23","Fatal Push",16,65.2
"24","Liquimetal Coating",37,65.2
"25","Wurmcoil Engine",31,64.9
"26","Pillage",9,64.8
"27","Obosh, the Preypiercer",9,64.8
"28","Ceremonious Rejection",17,64.7
"29","Rampaging Ferocidon",11,64.6
"30","Madcap Experiment",14,64.5
"31","Platinum Emperion",14,64.5
"32","Bedlam Reveler",20,64.5
"33","Ensnaring Bridge",36,64.5
"34","Rip Apart",20,64.2
"35","Mystical Dispute",38,64.2
"36","Celestial Purge",19,63.8
"37","Skysovereign, Consul Flagship",24,63.8
"38","Reclamation Sage",20,63.7
"39","Deafening Silence",8,63.6
"40","Leyline of the Void",12,63.5
"41","Dispel",25,63.4
"42","Vapor Snag",13,63.2
"43","Shock",2,63.1
"44","Rest in Peace",20,62.7
"45","Kor Firewalker",26,62.7
"46","Grafdigger's Cage",34,62.5
"47","Leyline of Sanctity",11,62.3
"48","Mystic Repeal",6,62.2
"49","Gaea's Blessing",13,62.2
"50","Leonin Relic-Warder",2,62.1
