"","SetCode","NoCopies","Winrate"
"1","MID",1835,0.71
"2","NEO",1521,0.708
"3","ZNR",1513,0.72
"4","LEA",1496,0.71
"5","ELD",1251,0.715
"6","AFR",1057,0.713
"7","KHM",808,0.716
"8","IKO",782,0.723
"9","KTK",765,0.712
"10","WAR",763,0.718
"11","M20",758,0.711
"12","KLD",721,0.71
"13","VOW",690,0.71
"14","STX",662,0.725
"15","THS",598,0.723
"16","RTR",574,0.706
"17","GPT",518,0.717
"18","RAV",498,0.736
"19","AKH",474,0.715
"20","SOI",441,0.715
"21","INV",417,0.706
"22","DTK",399,0.713
"23","DIS",389,0.717
"24","AER",324,0.704
"25","THB",322,0.704
"26","GRN",305,0.716
"27","RNA",288,0.72
"28","M14",287,0.715
"29","XLN",273,0.702
"30","DOM",263,0.7
"31","RIX",259,0.715
"32","LRW",256,0.706
"33","DGM",222,0.727
"34","ZEN",214,0.705
"35","JOU",212,0.733
"36","M21",194,0.73
"37","M19",190,0.716
"38","M10",184,0.744
"39","OGW",184,0.703
"40","ORI",183,0.716
"41","EMN",181,0.727
"42","HOU",176,0.701
"43","ICE",139,0.73
"44","APC",134,0.711
"45","TSP",120,0.695
"46","USG",115,0.702
"47","FRF",107,0.712
"48","MOR",78,0.721
"49","GTC",77,0.734
"50","MRD",64,0.739
"51","DKA",61,0.722
"52","PLC",43,0.712
"53","ATQ",39,0.68
"54","BFZ",37,0.738
"55","ISD",22,0.777
"56","M13",16,0.739
"57","LEG",15,0.68
"58","BNG",9,0.64
"59","ALA",4,0.714
"60","CMD",2,0.714
