"","Artist","NoCopies","Winrate"
"1","Dan Frazier",1401,0.791
"2","Rob Alexander",1259,0.792
"3","Terese Nielsen",1250,0.786
"4","Erica Yang",955,0.787
"5","Christopher Rush",932,0.788
"6","Kaja Foglio",843,0.789
"7","Svetlin Velinov",802,0.783
"8","Una Fricker",783,0.786
"9","Mark Tedin",726,0.792
"10","Mark Poole",714,0.792
"11","Adam Rex",707,0.798
"12","Kev Walker",568,0.796
"13","Jesper Myrfors",552,0.79
"14","Randy Vargas",542,0.783
"15","Shelly Wan",516,0.783
"16","Jeff A. Menges",483,0.805
"17","Philip Straub",476,0.79
"18","Daniel Ljunggren",421,0.792
"19","Magali Villeneuve",412,0.782
"20","Brian Snõddy",394,0.784
"21","Cyril Van Der Haegen",385,0.794
"22","Nicola Leonard",367,0.789
"23","Christopher Moeller",353,0.792
"24","Eric Deschamps",338,0.786
"25","Steven Belledin",337,0.79
"26","Colin MacNeil",308,0.808
"27","Matt Stewart",296,0.81
"28","Daarken",294,0.807
"29","Chippy",290,0.786
"30","Paul Scott Canavan",286,0.79
"31","Cliff Childs",286,0.791
"32","Steve Argyle",284,0.782
"33","Doug Chaffee",280,0.806
"34","Pat Lee",273,0.806
"35","Amy Weber",272,0.786
"36","Pete Venters",271,0.796
"37","Ron Spencer",270,0.806
"38","Douglas Shuler",263,0.791
"39","Daniel Gelon",260,0.787
"40","Yongjae Choi",240,0.771
"41","Ryan Yee",214,0.788
"42","Titus Lunter",207,0.801
"43","Filip Burburan",207,0.781
"44","Justin Murray",207,0.766
"45","Matt Thompson",201,0.793
"46","Anthony Palumbo",200,0.813
"47","Raymond Swanland",200,0.812
"48","NéNé Thomas",200,0.779
"49","Wisnu Tan",193,0.812
"50","rk post",193,0.83
"51","Heather Hudson",191,0.81
"52","Matthew D. Wilson",186,0.794
"53","Mark Zug",185,0.808
"54","Anson Maddocks",179,0.813
"55","Joseph Meehan",176,0.809
"56","Cynthia Sheppard",174,0.778
"57","Vance Kovacs",165,0.785
"58","Ryan Pancoast",161,0.81
"59","Sandra Everingham",160,0.802
"60","Liz Danforth",150,0.789
"61","G-host Lee",150,0.785
"62","Igor Kieryluk",149,0.808
"63","Anastasia Ovchinnikova",144,0.777
"64","John Avon",143,0.797
"65","Jonas De Ro",141,0.801
"66","Tim Hildebrandt",140,0.808
"67","Edward P. Beard, Jr.",140,0.81
"68","Joel Thomas",139,0.81
"69","Seb McKinnon",139,0.785
"70","Chris Rahn",135,0.792
"71","Mike Raabe",134,0.791
"72","Adrian Smith",132,0.813
"73","John Stanko",126,0.788
"74","Sidharth Chaturvedi",123,0.778
"75","Gary Leach",122,0.792
"76","Greg Hildebrandt & Tim Hildebrandt",120,0.82
"77","Carl Critchlow",118,0.777
"78","Stephen Daniele",111,0.793
"79","Volkan Baǵa",111,0.792
"80","Karl Kopinski",110,0.79
"81","David O'Connor",98,0.792
"82","Nils Hamm",97,0.796
"83","Lie Setiawan",95,0.801
"84","Kieran Yanner",91,0.809
"85","Jason A. Engle",84,0.788
"86","Jesper Ejsing",80,0.803
"87","Kaja Foglio & Phil Foglio",80,0.798
"88","Chuck Lukacs",78,0.804
"89","Michael Sutfin",73,0.784
"90","Anthony S. Waters",71,0.796
"91","Chase Stone",71,0.775
