"","SetCode","NoCopies","Winrate"
"1","LEA",4837,0.791
"2","ZEN",1948,0.789
"3","ALL",1299,0.788
"4","TMP",1149,0.796
"5","MH1",1089,0.785
"6","GPT",995,0.799
"7","NPH",948,0.788
"8","ATQ",938,0.787
"9","ICE",915,0.79
"10","FUT",813,0.795
"11","ONS",765,0.792
"12","M11",706,0.793
"13","ELD",645,0.789
"14","CMD",625,0.785
"15","MH2",598,0.777
"16","WAR",524,0.792
"17","MBS",462,0.797
"18","LEG",420,0.787
"19","RAV",415,0.809
"20","THB",405,0.795
"21","RTR",399,0.767
"22","DST",385,0.799
"23","KTK",376,0.784
"24","LRW",347,0.791
"25","LEB",341,0.784
"26","EXO",340,0.804
"27","DKA",331,0.791
"28","KLD",316,0.796
"29","WTH",295,0.808
"30","HOU",287,0.804
"31","M20",286,0.803
"32","GRN",282,0.797
"33","MMQ",274,0.798
"34","SOK",252,0.785
"35","AER",240,0.791
"36","SOM",235,0.798
"37","USG",227,0.797
"38","MRD",221,0.806
"39","ARN",216,0.813
"40","TOR",207,0.813
"41","CMR",198,0.8
"42","NEM",189,0.793
"43","5DN",170,0.809
"44","ZNR",169,0.767
"45","WWK",162,0.808
"46","CNS",158,0.788
"47","PHPR",153,0.796
"48","VIS",139,0.792
"49","ULG",139,0.788
"50","HML",135,0.789
"51","JUD",131,0.812
"52","DIS",130,0.803
"53","CHK",130,0.785
"54","CN2",128,0.771
"55","RNA",121,0.798
"56","SOI",113,0.786
"57","MIR",108,0.788
"58","GTC",96,0.773
"59","STX",94,0.795
"60","ORI",94,0.791
"61","XLN",88,0.812
"62","AVR",76,0.792
"63","C14",73,0.807
"64","M19",70,0.791
"65","FRF",68,0.801
"66","DRK",68,0.809
"67","CON",68,0.762
"68","SCG",66,0.806
"69","CSP",64,0.787
"70","ALA",59,0.8
"71","IKO",58,0.813
"72","ROE",54,0.836
"73","ISD",49,0.795
"74","M21",48,0.818
"75","PLC",46,0.804
"76","OGW",45,0.792
"77","ARB",44,0.793
"78","AKH",39,0.767
"79","TSP",35,0.756
"80","STH",35,0.829
"81","BOK",29,0.759
"82","DOM",23,0.779
"83","ODY",22,0.782
"84","P02",17,0.8
"85","EMN",17,0.75
"86","BNG",16,0.75
"87","C13",12,0.771
"88","JMP",12,0.812
"89","C20",11,0.875
"90","BBD",10,0.812
"91","APC",10,0.786
"92","KHM",8,0.875
"93","M14",8,0.765
"94","LGN",7,0.75
"95","BFZ",5,0.85
"96","INV",3,0.917
"97","C19",3,0.75
"98","PLS",2,1
"99","SHM",2,1
"100","M15",2,1
"101","M12",2,0.75
"102","M13",2,0.75
"103","JOU",1,0.75
"104","SLD",1,0.75
